SRX6743819	TFs and others	TFEB	Pluripotent stem cell	iPS cells	13773	199/416	177/709	-14.1307	-10.2338	1.91616
SRX3800332	TFs and others	STAG2	Others	RT-112	26517	258/416	288/709	-11.4091	-8.46706	1.52679
SRX265229	TFs and others	ELF1	Blood	ME-1	9790	256/416	286/709	-11.2177	-8.31202	1.52555
SRX3460917	TFs and others	IKZF1	Blood	Pre-B cells	31964	108/416	330/709	-11.2083	-8.31202	0.55778
SRX5124040	TFs and others	POU2F1	Prostate	22Rv1	7216	36/416	174/709	-11.0766	-8.2274	0.352619
SRX1091814	TFs and others	CTCFL	Blood	K-562	19775	272/416	314/709	-11.0685	-8.2274	1.47636
SRX7135367	TFs and others	HDAC1	Blood	K-562	6839	124/416	358/709	-11.0452	-8.2274	0.590326
SRX2731518	TFs and others	NCAPH2	Kidney	293	9884	262/416	297/709	-11.0445	-8.2274	1.50348
SRX265222	TFs and others	RUNX1	Blood	ME-1	14180	251/416	280/709	-10.8635	-8.06413	1.52781
SRX6099461	TFs and others	EP300	Blood	DLBCL	13756	8/416	90/709	-10.6854	-7.90306	0.151496
SRX6099459	TFs and others	POU2F2	Blood	DLBCL	22864	32/416	160/709	-10.5638	-7.79786	0.340865
SRX3068920	TFs and others	AR	Prostate	22Rv1	2294	43/416	186/709	-10.3594	-7.61629	0.394011
SRX150639	TFs and others	RFX5	Uterus	HeLa	18692	114/416	335/709	-10.3512	-7.61629	0.57998
SRX9534427	TFs and others	POU2AF1	Blood	Tonsil germinal center cells	15303	104/416	315/709	-10.2315	-7.51131	0.562698
SRX265225	TFs and others	TCF12	Blood	ME-1	11836	215/416	228/709	-9.8389	-7.15167	1.60715
SRX6099462	TFs and others	CREBBP	Blood	DLBCL	27145	35/416	163/709	-9.83122	-7.15167	0.36596
SRX5124035	TFs and others	FOXA1	Prostate	22Rv1	63295	47/416	192/709	-9.8259	-7.15167	0.417205
SRX9562887	TFs and others	SMARCA4	Muscle	RH-4	14459	193/416	194/709	-9.8175	-7.15167	1.69554
SRX3800334	TFs and others	SMC1A	Others	RT-112	22023	235/416	262/709	-9.68673	-7.03349	1.52869
SRX4708020	TFs and others	HNRNPC	Liver	Hep G2	10020	244/416	277/709	-9.63131	-6.9903	1.50128
SRX10382404	TFs and others	TET1	Pluripotent stem cell	hESC H1	20239	275/416	331/709	-9.6182	-6.98909	1.41598
SRX12118512	TFs and others	POU2F2	Blood	OCI-LY-7	22891	35/416	160/709	-9.45034	-6.83405	0.372822
SRX2731517	TFs and others	NCAPH2	Kidney	293	10745	269/416	321/709	-9.43728	-6.83405	1.42824
SRX6099460	TFs and others	MED1	Blood	DLBCL	10449	10/416	90/709	-9.4293	-6.83405	0.18937
SRX9498731	TFs and others	TBP	Blood	K-562	5074	103/416	306/709	-9.389	-6.80767	0.573679
SRX7135365	TFs and others	BRD2	Blood	K-562	3061	58/416	213/709	-9.38173	-6.80767	0.464089
SRX8949797	TFs and others	ASCL1	Unclassified	Unclassified	22112	345/416	467/709	-9.36832	-6.80448	1.25909
SRX2014504	TFs and others	RUNX1	Blood	Jurkat	33270	274/416	332/709	-9.26849	-6.71463	1.40658
SRX482859	TFs and others	TBP	Blood	K-562	7128	91/416	281/709	-9.22927	-6.68517	0.551935
SRX8949802	TFs and others	ASCL1	Unclassified	Unclassified	20597	273/416	331/709	-9.11252	-6.57797	1.40568
SRX8726297	TFs and others	BMI1	Others	Tumor	14115	251/416	293/709	-9.07586	-6.5564	1.46002
SRX063921	TFs and others	ERG	Blood	K-562	19370	254/416	298/709	-9.07247	-6.5564	1.45268
SRX3102569	TFs and others	TP53	Digestive tract	SW 480	24841	116/416	326/709	-8.77892	-6.27181	0.606448
SRX2281249	TFs and others	KMT2A	Blood	SEM	17528	304/416	391/709	-8.69567	-6.19733	1.3251
SRX5124036	TFs and others	FOXA1	Prostate	22Rv1	58308	48/416	185/709	-8.65986	-6.17012	0.442204
SRX150671	TFs and others	TRIM28	Kidney	293	22597	95/416	284/709	-8.61364	-6.13234	0.570109
SRX5574507	TFs and others	SPI1	Blood	CTV-1	14210	40/416	167/709	-8.60258	-6.12955	0.408222
SRX7135368	TFs and others	BRD4	Blood	K-562	3115	47/416	183/709	-8.57329	-6.10838	0.437723
SRX2513053	TFs and others	TET2	Blood	Jurkat	25447	329/416	441/709	-8.54934	-6.09608	1.27148
SRX5124039	TFs and others	POU2F1	Prostate	22Rv1	6371	28/416	136/709	-8.5452	-6.09608	0.350891
SRX037417	TFs and others	PRAME	Blood	K-562	3110	50/416	189/709	-8.53114	-6.08971	0.45088
SRX5486428	TFs and others	GFP	Digestive tract	HCT 116	12539	185/416	191/709	-8.48975	-6.05587	1.65079
SRX12118516	TFs and others	POU2F2	Blood	OCI-LY-7	18138	85/416	263/709	-8.45342	-6.02696	0.550828
SRX7196721	TFs and others	BMI1	Neural	SF8628	19935	197/416	212/709	-8.17897	-5.75981	1.58374
SRX1047416	TFs and others	SOX2	Pluripotent stem cell	hESC derived neural cells	33236	28/416	133/709	-8.16051	-5.75043	0.358806
SRX265227	TFs and others	TAL1	Blood	ME-1	7018	138/416	126/709	-8.15535	-5.75043	1.86664
SRX018279	TFs and others	EP300	Neural	T98G	9949	85/416	260/709	-8.1254	-5.72948	0.557184
SRX117010	TFs and others	FLI1	Blood	U-937	12322	288/416	366/709	-8.12061	-5.72948	1.34111
SRX717857	TFs and others	EP300	Uterus	HeLa	13009	15/416	97/709	-8.10905	-5.72466	0.263556
SRX190338	TFs and others	SIN3A	Lung	A549	4499	42/416	167/709	-8.08559	-5.70783	0.428633
SRX9523535	TFs and others	NABP2	Bone	HT-1080	12504	295/416	380/709	-8.0525	-5.68127	1.3231
SRX6957431	TFs and others	FOXL2	Gonad	KGN	58957	67/416	222/709	-8.04332	-5.67924	0.514369
SRX003799	TFs and others	STAT1	Uterus	HeLa	12435	71/416	231/709	-8.0377	-5.67924	0.523841
SRX3800330	TFs and others	STAG1	Others	RT-112	32743	271/416	337/709	-7.9631	-5.61089	1.37054
SRX359886	TFs and others	ETV5	Digestive tract	LoVo	4659	66/416	220/709	-7.94427	-5.59822	0.511298
SRX150631	TFs and others	BRCA1	Uterus	HeLa	6429	71/416	230/709	-7.87753	-5.53755	0.526118
SRX5574465	TFs and others	ETS1	Blood	CTV-1	33103	155/416	388/709	-7.76719	-5.4332	0.680852
SRX265220	TFs and others	MYH11	Blood	ME-1	6124	106/416	86/709	-7.74936	-5.42661	2.10068
SRX5504130	TFs and others	HNF1B	Pancreas	PANC-1	10616	164/416	403/709	-7.74886	-5.42661	0.693572
SRX4815198	TFs and others	FOXA1	Breast	MCF-7	103211	58/416	201/709	-7.70392	-5.38743	0.491796
SRX150440	TFs and others	STAT1	Uterus	HeLa	12433	72/416	230/709	-7.67578	-5.36496	0.533528
SRX3229121	TFs and others	ESR1	Breast	Breast cancer	2945	31/416	137/709	-7.65637	-5.35116	0.385651
SRX3800333	TFs and others	STAG2	Others	RT-112	27354	230/416	270/709	-7.5377	-5.24269	1.45183
SRX2436048	TFs and others	OTX2	Neural	D341 Med	34917	55/416	192/709	-7.53691	-5.24269	0.488219
SRX8080566	TFs and others	POU2F1	Breast	Mammary gland ductal carcinoma	9424	160/416	394/709	-7.45053	-5.16171	0.692112
SRX1161174	TFs and others	FOXA1	Breast	MCF-7	25263	57/416	196/709	-7.437	-5.15351	0.495646
SRX4786549	TFs and others	ESR1	Breast	MCF-7	12317	40/416	157/709	-7.3888	-5.11075	0.434223
SRX150704	TFs and others	TCF7L2	Uterus	HeLa	13858	61/416	204/709	-7.38378	-5.11075	0.509627
SRX5576990	TFs and others	CRTC2	Lung	A549	19080	389/416	584/709	-7.37009	-5.1022	1.13525
SRX6099463	TFs and others	POU2F1	Blood	DLBCL	7357	73/416	229/709	-7.32267	-5.05986	0.543301
SRX8299783	TFs and others	MYC	Bone	U2OS	20211	312/416	418/709	-7.30763	-5.05256	1.27213
SRX8673357	TFs and others	EGR1	Blood	Kasumi-1	6763	168/416	175/709	-7.30539	-5.05256	1.63615
SRX2207918	TFs and others	ATF3	Epidermis	CS1AN	30101	334/416	462/709	-7.29813	-5.05021	1.23213
SRX7214022	TFs and others	KLF3	Epidermis	Keratinocytes	15744	279/416	357/709	-7.26208	-5.01901	1.33195
SRX702045	TFs and others	OTX2	Pluripotent stem cell	hESC HUES64	22621	42/416	161/709	-7.24222	-5.00685	0.444607
SRX359960	TFs and others	TAL1	Digestive tract	LoVo	8703	189/416	441/709	-7.24037	-5.00685	0.730426
SRX150666	TFs and others	TRIM28	Bone	U2OS	8751	22/416	112/709	-7.2323	-5.00348	0.334779
SRX5574485	TFs and others	ETS1	Blood	CTV-1	21997	147/416	369/709	-7.19121	-4.96703	0.67896
SRX265231	TFs and others	SPI1	Blood	ME-1	2778	84/416	62/709	-7.15784	-4.93978	2.30909
SRX4235879	TFs and others	TP53	Digestive tract	SW 480	40185	265/416	558/709	-7.15482	-4.93978	0.809403
SRX2281252	TFs and others	KMT2A	Blood	SEM	7460	295/416	388/709	-7.14487	-4.93433	1.29582
SRX10382426	TFs and others	TET1	Pluripotent stem cell	hESC H1	20673	326/416	448/709	-7.05651	-4.85043	1.2402
SRX5574506	TFs and others	SPI1	Blood	CTV-1	23802	43/416	161/709	-7.00265	-4.80098	0.455193
SRX4240288	TFs and others	ESR1	Gonad	SK-OV-3	14171	78/416	236/709	-6.9798	-4.78249	0.563294
SRX1036364	TFs and others	RUNX1	Blood	Acute myeloid leukemia	11798	99/416	278/709	-6.97507	-4.78208	0.606937
SRX4116034	TFs and others	ESR1	Breast	Breast cancer cells	2819	31/416	132/709	-6.96176	-4.77305	0.400259
SRX5821031	TFs and others	GATA1	Blood	CD34+	12681	100/416	279/709	-6.93751	-4.75553	0.61087
SRX3737119	TFs and others	NELFA	Kidney	293	5031	64/416	207/709	-6.9358	-4.75553	0.526942
SRX1660871	TFs and others	TRIM25	Breast	Breast cancer cells	8898	192/416	215/709	-6.89608	-4.71996	1.522
SRX5574453	TFs and others	SPI1	Blood	CTV-1	40532	34/416	139/709	-6.87042	-4.69842	0.416886
SRX3345943	TFs and others	EGR1	Blood	HL-60	4803	27/416	122/709	-6.83941	-4.67415	0.377187
SRX063918	TFs and others	ERG	Breast	MCF-7	15396	281/416	365/709	-6.83803	-4.67415	1.3121
SRX5574451	TFs and others	SPI1	Blood	CTV-1	44477	24/416	114/709	-6.81553	-4.65565	0.358806
SRX10218286	TFs and others	GATA1	Blood	HUDEP-2	26586	57/416	191/709	-6.8087	-4.65278	0.508621
SRX7214021	TFs and others	KLF3	Epidermis	Keratinocytes	15248	272/416	350/709	-6.75848	-4.60765	1.32451
SRX4240291	TFs and others	ESR1	Gonad	SK-OV-3	1236	23/416	111/709	-6.75147	-4.60765	0.353149
SRX150657	TFs and others	RCOR1	Uterus	HeLa	11556	58/416	192/709	-6.74805	-4.60765	0.514849
SRX2164786	TFs and others	NKX2-1	Lung	A549	53092	58/416	192/709	-6.74805	-4.60765	0.514849
SRX8949803	TFs and others	ASCL1	Unclassified	Unclassified	20255	269/416	345/709	-6.73632	-4.60151	1.32888
SRX4235878	TFs and others	KMT2D	Digestive tract	SW 480	11583	81/416	240/709	-6.73436	-4.60151	0.57521
SRX2765964	TFs and others	HMGB1	Cardiovascular	HUVEC	8564	107/416	93/709	-6.72894	-4.59982	1.96089
SRX150517	TFs and others	FOS	Breast	MCF 10A	56189	14/416	86/709	-6.71153	-4.5861	0.277449
SRX6780876	TFs and others	CRTC1	Pluripotent stem cell	iPS derived neural cells	3183	59/416	194/709	-6.70525	-4.58507	0.518326
SRX2731658	TFs and others	PBX4	Prostate	PC-3	76930	45/416	163/709	-6.7032	-4.58507	0.47052
SRX150397	TFs and others	FOS	Uterus	HeLa	8901	27/416	120/709	-6.66626	-4.55174	0.383474
SRX9562886	TFs and others	SMARCA4	Muscle	RH-4	7405	105/416	91/709	-6.63461	-4.52522	1.96653
SRX063919	TFs and others	ERG	Blood	K-562	6497	76/416	55/709	-6.63262	-4.52522	2.35507
SRX5821034	TFs and others	GATA1	Blood	HUDEP-2	15479	68/416	212/709	-6.60582	-4.50193	0.546671
SRX10382402	TFs and others	QSER1	Pluripotent stem cell	hESC H1	34365	319/416	439/709	-6.57893	-4.47853	1.23845
SRX5574466	TFs and others	ETS1	Blood	CTV-1	34189	181/416	421/709	-6.56808	-4.47312	0.732739
SRX1514922	TFs and others	GFP	Kidney	293	5905	113/416	102/709	-6.56662	-4.47312	1.88813
SRX359916	TFs and others	RELA	Digestive tract	LoVo	5895	172/416	406/709	-6.55445	-4.46435	0.72203
SRX150685	TFs and others	TBP	Uterus	HeLa	14590	163/416	390/709	-6.53746	-4.45074	0.712321
SRX7135364	TFs and others	HDAC1	Blood	K-562	241	0/416	33/709	-6.53057	-4.44721	0
SRX7865932	TFs and others	BRD4	Breast	MDA-MB-231	7054	8/416	66/709	-6.51603	-4.43599	0.206585
SRX5266973	TFs and others	KDM4A	Blood	THP-1	15430	291/416	387/709	-6.50481	-4.42808	1.28155
SRX2436052	TFs and others	OTX2	Neural	D341 Med	18502	61/416	197/709	-6.46299	-4.38953	0.527736
SRX186634	TFs and others	RFX5	Neural	SK-N-SH	6877	112/416	297/709	-6.41638	-4.34618	0.642709
SRX2513054	TFs and others	RUNX1	Kidney	293	51344	194/416	223/709	-6.37116	-4.30419	1.48269
SRX12118515	TFs and others	POU2F2	Blood	OCI-LY-7	27492	141/416	350/709	-6.35974	-4.29597	0.6866
SRX5307507	TFs and others	MAX	Blood	P493-6	8622	197/416	228/709	-6.33105	-4.27046	1.4726
SRX2982416	TFs and others	FOXA1	Uterus	Ishikawa	32008	90/416	254/709	-6.32722	-4.26979	0.603895
SRX2007815	TFs and others	MEN1	Breast	MCF-7	2578	27/416	118/709	-6.32205	-4.26776	0.389973
SRX326890	TFs and others	ERG	Blood	Jurkat	6685	97/416	268/709	-6.3063	-4.25512	0.616865
SRX265239	TFs and others	MYH11	Blood	U-937	8318	98/416	270/709	-6.28442	-4.23633	0.618608
SRX10218291	TFs and others	GATA1	Blood	HUDEP-2	26984	48/416	166/709	-6.21419	-4.16917	0.492817
SRX5931543	TFs and others	GATA1	Blood	HUDEP-2	22789	43/416	155/709	-6.20562	-4.16365	0.472813
SRX063917	TFs and others	ERG	Breast	MCF-7	14218	269/416	350/709	-6.18381	-4.14486	1.3099
SRX360059	TFs and others	ZNF280D	Digestive tract	LoVo	1372	25/416	111/709	-6.17159	-4.13565	0.383857
SRX250092	TFs and others	AR	Breast	MDA-MB-453	37368	354/416	514/709	-6.11605	-4.08309	1.1738
SRX1998402	TFs and others	EZH2	Muscle	Rhabdomyosarcoma	9119	197/416	443/709	-6.08338	-4.05339	0.757906
SRX717859	TFs and others	EP300	Uterus	HeLa	14403	9/416	67/709	-6.0676	-4.04055	0.228939
SRX5931551	TFs and others	GATA1	Blood	HUDEP-2	23723	57/416	184/709	-6.04985	-4.02573	0.527971
SRX082163	TFs and others	FOS	Blood	GM12878	966	23/416	105/709	-6.04083	-4.02061	0.373329
SRX6602361	TFs and others	ARNTL	Neural	Glioma stem cells	5924	158/416	170/709	-6.03894	-4.02061	1.58402
SRX695951	TFs and others	MAZ	Adipocyte	T778	12964	282/416	375/709	-6.00823	-3.99277	1.28165
SRX5931550	TFs and others	GATA1	Blood	HUDEP-2	26572	100/416	270/709	-5.96018	-3.94756	0.631232
SRX117011	TFs and others	FLI1	Blood	U-937	13833	288/416	387/709	-5.92789	-3.92198	1.26834
SRX6027688	TFs and others	ESR1	Uterus	Ishikawa	21394	298/416	405/709	-5.92654	-3.92198	1.25405
SRX1478544	TFs and others	SIX2	Kidney	Kidney Cortex	26555	18/416	91/709	-5.92616	-3.92198	0.33712
SRX5770333	TFs and others	Epitope tags	Digestive tract	HCT 116	10537	297/416	403/709	-5.91448	-3.91422	1.25604
SRX7135370	TFs and others	BRD3	Blood	K-562	1429	21/416	100/709	-5.91287	-3.91422	0.357909
SRX150635	TFs and others	RFX5	Blood	GM12878	2784	48/416	164/709	-5.90746	-3.91155	0.498827
SRX5604680	TFs and others	FOXA1	Prostate	LNCAP	29975	64/416	198/709	-5.89841	-3.90522	0.550894
SRX100422	TFs and others	SP1	Pluripotent stem cell	hESC H1	15925	181/416	415/709	-5.87641	-3.88593	0.743333
SRX2436046	TFs and others	OTX2	Neural	D341 Med	32573	46/416	159/709	-5.87074	-3.88448	0.493076
SRX359880	TFs and others	ATF2	Digestive tract	LoVo	7481	178/416	410/709	-5.8696	-3.88448	0.739927
SRX3098193	TFs and others	RUNX1T1	Blood	Kasumi-1	7038	153/416	164/709	-5.8492	-3.86674	1.59001
SRX150357	TFs and others	TBP	Blood	GM12878	10458	128/416	321/709	-5.80099	-3.82117	0.679607
SRX5514029	TFs and others	CDK8	Uterus	Myometrium	1561	15/416	82/709	-5.79689	-3.81969	0.311767
SRX5577161	TFs and others	AR	Prostate	LNCAP	16081	266/416	349/709	-5.76197	-3.78738	1.299
SRX190288	TFs and others	ZBTB33	Lung	A549	4791	64/416	197/709	-5.75345	-3.78676	0.55369
SRX1161177	TFs and others	FOXA1	Breast	MCF-7	31556	18/416	90/709	-5.75329	-3.78676	0.340865
SRX1318615	TFs and others	SIX2	Kidney	Kidney Cortex	26574	18/416	90/709	-5.75329	-3.78676	0.340865
SRX4193142	TFs and others	ESR1	Breast	MCF-7	6146	38/416	140/709	-5.75107	-3.78676	0.462603
SRX100552	TFs and others	SP1	Liver	Hep G2	19133	152/416	363/709	-5.74332	-3.78154	0.713658
SRX2585782	TFs and others	TP53	Breast	MDA-MB-231	31353	163/416	383/709	-5.72889	-3.76963	0.72534
SRX6977278	TFs and others	Epitope tags	Neural	BE(2)-C	5261	160/416	377/709	-5.72362	-3.76686	0.723322
SRX1998403	TFs and others	EZH2	Muscle	Rhabdomyosarcoma	2401	30/416	120/709	-5.71414	-3.75987	0.426082
SRX833420	TFs and others	NIPBL	Pluripotent stem cell	hESC H1	11150	146/416	352/709	-5.6546	-3.70281	0.706908
SRX10881821	TFs and others	SS18L1	Kidney	G-401	20099	366/416	544/709	-5.64763	-3.69915	1.14666
SRX4193145	TFs and others	ESR1	Breast	MCF-7	5919	27/416	112/709	-5.64364	-3.69915	0.410865
SRX5574493	TFs and others	SPI1	Blood	CTV-1	19639	33/416	127/709	-5.64043	-3.69915	0.442857
SRX4240290	TFs and others	ESR1	Gonad	SK-OV-3	1134	22/416	100/709	-5.63855	-3.69915	0.374952
SRX9004381	TFs and others	USF2	Blood	SEM	11319	80/416	228/709	-5.63804	-3.69915	0.598009
SRX150377	TFs and others	CHD2	Pluripotent stem cell	hESC H1	6065	120/416	305/709	-5.63639	-3.69915	0.670555
SRX1456194	TFs and others	RBPJ	Blood	Mutu	1609	15/416	81/709	-5.61646	-3.6816	0.315616
SRX7624162	TFs and others	ESR1	Breast	T-47D	21278	54/416	174/709	-5.60856	-3.67607	0.528929
SRX204905	TFs and others	BRD4	Blood	MM.1S	21154	373/416	559/709	-5.58996	-3.65982	1.13723
SRX150633	TFs and others	GTF2F1	Uterus	HeLa	6973	65/416	197/709	-5.57739	-3.6496	0.562341
SRX5705804	TFs and others	ETS1	Pluripotent stem cell	hESC derived cardiac cells	1681	55/416	176/709	-5.56164	-3.63617	0.532602
SRX3229139	TFs and others	ESR1	Breast	Breast cancer	5607	108/416	282/709	-5.55177	-3.62862	0.652721
SRX9498686	TFs and others	TBP	Blood	K-562	2501	39/416	140/709	-5.53413	-3.61354	0.474777
SRX833422	TFs and others	NIPBL	Pluripotent stem cell	hESC H1	4807	44/416	151/709	-5.53209	-3.61354	0.496625
SRX150585	TFs and others	NFYA	Blood	GM12878	1488	37/416	135/709	-5.51032	-3.59405	0.467112
SRX3931044	TFs and others	FOXA1	Breast	MCF-7	66966	45/416	153/709	-5.47848	-3.56491	0.501273
SRX5702624	TFs and others	ESR1	Breast	Breast cancer cells	10400	64/416	194/709	-5.47545	-3.56491	0.562252
SRX3229136	TFs and others	ESR1	Breast	Breast cancer	2693	57/416	179/709	-5.47442	-3.56491	0.542719
SRX8272937	TFs and others	BRD4	Blood	BLaER1	8693	186/416	218/709	-5.47004	-3.56277	1.45415
SRX5702623	TFs and others	ESR1	Breast	Breast cancer cells	16957	114/416	292/709	-5.4588	-3.55375	0.665388
SRX2963102	TFs and others	RUNX1	Blood	PBMC	20938	291/416	397/709	-5.44501	-3.54217	1.24927
SRX7135369	TFs and others	BRD4	Blood	K-562	1554	15/416	80/709	-5.4324	-3.53176	0.319561
SRX1892834	TFs and others	TFAP4	Digestive tract	SNU-1750	27215	289/416	393/709	-5.42489	-3.52999	1.25331
SRX7805899	TFs and others	NIPBL	Epidermis	Dermal fibroblast	4032	133/416	139/709	-5.42428	-3.52999	1.63076
SRX190198	TFs and others	ATF2	Pluripotent stem cell	hESC H1	5733	46/416	155/709	-5.4241	-3.52999	0.5058
SRX190194	TFs and others	GATA3	Neural	SK-N-SH	67373	62/416	189/709	-5.41201	-3.52005	0.559091
SRX6780865	TFs and others	CREB1	Pluripotent stem cell	iPS derived neural cells	9637	235/416	498/709	-5.39909	-3.50949	0.804251
SRX150730	TFs and others	IRF3	Blood	GM12878	1227	32/416	123/709	-5.39717	-3.50949	0.443402
SRX265430	TFs and others	KDM5B	Breast	MDA-MB-231	32638	306/416	425/709	-5.39031	-3.50476	1.22712
SRX667413	TFs and others	Epitope tags	Breast	MCF-7	27244	205/416	249/709	-5.38421	-3.50077	1.40316
SRX359887	TFs and others	GLI2	Digestive tract	LoVo	4599	111/416	285/709	-5.3704	-3.48906	0.66379
SRX150488	TFs and others	NFYB	Uterus	HeLa	5752	104/416	272/709	-5.36031	-3.48107	0.651654
SRX359894	TFs and others	HOXA6	Digestive tract	LoVo	6611	186/416	418/709	-5.35362	-3.47646	0.758385
SRX4786568	TFs and others	TET2	Breast	MCF-7	1688	42/416	145/709	-5.35014	-3.47505	0.493667
SRX190285	TFs and others	ETS1	Lung	A549	4698	86/416	237/709	-5.34578	-3.47275	0.618448
SRX1165100	TFs and others	Epitope tags	Liver	Hep G2	9021	182/416	411/709	-5.33962	-3.46865	0.754714
SRX2513052	TFs and others	TET2	Blood	Jurkat	12358	238/416	305/709	-5.329	-3.46007	1.32993
SRX3230386	TFs and others	HMGXB3	Liver	Hep G2	12286	171/416	392/709	-5.32325	-3.45636	0.743469
SRX7805372	TFs and others	ZFX	Kidney	293	12819	132/416	138/709	-5.3154	-3.45053	1.63023
SRX099230	TFs and others	GATA1	Blood	PBMC	10143	16/416	82/709	-5.29259	-3.42974	0.332552
SRX9498683	TFs and others	TBP	Blood	K-562	4918	128/416	316/709	-5.28684	-3.42599	0.69036
SRX4677296	TFs and others	FOXA2	Pancreas	CFPAC-1	49686	38/416	135/709	-5.28474	-3.42589	0.479736
SRX9498685	TFs and others	TBP	Blood	K-562	3074	55/416	173/709	-5.27877	-3.4229	0.541838
SRX5982342	TFs and others	SMARCA4	Lung	A549	816	19/416	90/709	-5.27402	-3.4229	0.359802
SRX4815197	TFs and others	FOXA1	Breast	MCF-7	76529	36/416	131/709	-5.27199	-3.4229	0.468365
SRX5286305	TFs and others	AR	Prostate	LNCAP	51453	272/416	365/709	-5.2719	-3.4229	1.27007
SRX6780893	TFs and others	CREB1	Pluripotent stem cell	iPS derived neural cells	5266	144/416	344/709	-5.2719	-3.4229	0.713439
SRX265423	TFs and others	KDM5B	Breast	SUM 185PE	31331	354/416	522/709	-5.26413	-3.41707	1.15581
SRX4193150	TFs and others	ESR1	Breast	MCF-7	6045	34/416	126/709	-5.2547	-3.40957	0.459898
SRX731025	TFs and others	TLX1	Blood	ALL-SIL	6525	4/416	44/709	-5.25049	-3.40729	0.154939
SRX8536124	TFs and others	GATA1	Blood	HUDEP-2	16034	21/416	94/709	-5.23239	-3.39457	0.380754
SRX2470089	TFs and others	PITX3	Neural	SH-SY5Y	10889	63/416	189/709	-5.23238	-3.39457	0.568109
SRX150578	TFs and others	CEBPB	Blood	K-562	38525	30/416	116/709	-5.23204	-3.39457	0.440774
SRX7624161	TFs and others	ESR1	Breast	T-47D	21300	67/416	197/709	-5.22261	-3.38703	0.579644
SRX535455	TFs and others	HEXIM1	Epidermis	A-375	2821	50/416	161/709	-5.21269	-3.38221	0.529294
SRX4561210	TFs and others	EHMT2	Muscle	RH-41	11819	303/416	422/709	-5.21216	-3.38221	1.22372
SRX150420	TFs and others	ATF1	Blood	K-562	11645	113/416	287/709	-5.21216	-3.38221	0.671042
SRX1165104	TFs and others	Epitope tags	Liver	Hep G2	10162	206/416	450/709	-5.2058	-3.37771	0.780203
SRX6780892	TFs and others	CREB1	Pluripotent stem cell	iPS derived neural cells	5664	166/416	382/709	-5.19717	-3.37093	0.740624
SRX3472373	TFs and others	TP53BP1	Pluripotent stem cell	hESC H9	7476	139/416	334/709	-5.17859	-3.35419	0.709286
SRX757325	TFs and others	YAP1	Lung	H2052	56147	27/416	108/709	-5.1529	-3.33034	0.426082
SRX4792912	TFs and others	RAD21	Breast	T-47D	16942	190/416	228/709	-5.129	-3.30827	1.42027
SRX190283	TFs and others	EP300	Lung	A549	13777	36/416	130/709	-5.11777	-3.29886	0.471967
SRX5136353	TFs and others	RTA	Blood	BCBL1	2148	31/416	13/709	-5.11551	-3.29841	4.06416
SRX1660875	TFs and others	TRIM25	Breast	Breast cancer cells	14495	193/416	233/709	-5.09586	-3.28057	1.41174
SRX5574498	TFs and others	SPI1	Blood	CTV-1	13604	44/416	147/709	-5.09051	-3.27702	0.510139
SRX1293531	TFs and others	KMT2A	Blood	MV-4-11	26361	363/416	542/709	-5.08603	-3.27433	1.14146
SRX2982414	TFs and others	FOXA1	Uterus	Ishikawa	25173	47/416	154/709	-5.0835	-3.27358	0.520152
