SRX1674506	TFs and others	MBD3	Uterus	HeLa	35004	451/2546	33/81	-5.56821	-1.52124	0.4348
SRX1161169	TFs and others	ESR1	Breast	MCF-7	1651	17/2546	5/81	-3.36727	-0.808162	0.10817
SRX3584313	TFs and others	RARA	Pluripotent stem cell	iPS derived chondrocytes	1721	17/2546	5/81	-3.36727	-0.808162	0.10817
SRX1787682	TFs and others	KMT2C	Breast	MCF-7	4199	99/2546	11/81	-3.36611	-0.808162	0.286332
SRX1012653	TFs and others	PGR	Breast	MCF-7	10860	173/2546	15/81	-3.34064	-0.80661	0.366929
SRX1161167	TFs and others	NR3C1	Breast	MCF-7	11431	154/2546	14/81	-3.33293	-0.80661	0.349961
SRX3080214	TFs and others	ESR1	Breast	MCF-7	12011	136/2546	13/81	-3.31294	-0.80661	0.33283
SRX1161182	TFs and others	NR3C1	Breast	ZR-75-1	13047	137/2546	13/81	-3.28447	-0.80661	0.335277
SRX3584310	TFs and others	RARA	Pluripotent stem cell	iPS derived chondrocytes	3317	18/2546	5/81	-3.27136	-0.80661	0.114533
SRX1012597	TFs and others	ESR1	Breast	T-47D	7227	102/2546	11/81	-3.26421	-0.80661	0.295008
SRX170373	TFs and others	BRD2	Kidney	293	4177	29/2546	6/81	-3.2471	-0.80661	0.153771
SRX396254	TFs and others	TP53	Others	Fibroblasts	5697	29/2546	6/81	-3.2471	-0.80661	0.153771
SRX1012622	TFs and others	PGR	Breast	T-47D	22573	197/2546	16/81	-3.24375	-0.80661	0.391717
SRX1898037	TFs and others	RAG1	Blood	REH	30711	321/2546	22/81	-3.2427	-0.80661	0.464204
SRX8080547	TFs and others	Epitope tags	Breast	Mammary gland ductal carcinoma	4602	256/2546	19/81	-3.2369	-0.80661	0.42866
SRX9550857	TFs and others	FOXA1	Prostate	Prostate cancer	11871	218/2546	17/81	-3.23526	-0.80661	0.407976
SRX2251223	TFs and others	BRD4	Prostate	C4-2	29879	558/2546	32/81	-3.23232	-0.80661	0.554767
SRX5405697	TFs and others	TFAP2C	Breast	HCC1954	10192	258/2546	19/81	-3.20918	-0.80661	0.432009
SRX3285601	TFs and others	ESR1	Breast	FULR	3169	56/2546	8/81	-3.20216	-0.80661	0.222702
SRX10365514	TFs and others	AR	Breast	MCF-7	14901	71/2546	9/81	-3.20209	-0.80661	0.250982
SRX100459	TFs and others	EGR1	Blood	K-562	32501	1247/2546	24/81	-3.19908	-0.80661	1.65303
SRX5598318	TFs and others	MYOCD	Lung	A549	12245	104/2546	11/81	-3.19834	-0.80661	0.300793
SRX186634	TFs and others	RFX5	Neural	SK-N-SH	6877	744/2546	10/81	-3.18916	-0.80661	2.36701
SRX3584308	TFs and others	RARA	Pluripotent stem cell	iPS derived chondrocytes	3252	19/2546	5/81	-3.18044	-0.80661	0.120896
SRX3285600	TFs and others	ESR1	Breast	FULR	2060	30/2546	6/81	-3.17863	-0.80661	0.159073
SRX5089506	TFs and others	HDAC1	Breast	MCF-7	575	10/2546	4/81	-3.178	-0.80661	0.0795365
SRX8080548	TFs and others	Epitope tags	Breast	Mammary gland ductal carcinoma	3184	57/2546	8/81	-3.156	-0.791449	0.226679
SRX1012612	TFs and others	EP300	Breast	T-47D	8140	106/2546	11/81	-3.13406	-0.782873	0.306577
SRX5203311	TFs and others	FOXA1	Breast	MCF-7	11363	106/2546	11/81	-3.13406	-0.782873	0.306577
SRX003938	TFs and others	ESR1	Breast	MCF-7	6677	31/2546	6/81	-3.11249	-0.768427	0.164375
SRX3541107	TFs and others	ESR1	Breast	MCF-7	1473	20/2546	5/81	-3.09406	-0.768427	0.127258
SRX3584309	TFs and others	RARA	Pluripotent stem cell	iPS derived chondrocytes	3630	20/2546	5/81	-3.09406	-0.768427	0.127258
SRX5251415	TFs and others	ESR1	Breast	MCF-7	3725	20/2546	5/81	-3.09406	-0.768427	0.127258
SRX371469	TFs and others	ESR1	Breast	MCF-7	33512	334/2546	22/81	-3.08156	-0.762088	0.483004
SRX2378690	TFs and others	AHR	Breast	MCF-7	1885	11/2546	4/81	-3.05354	-0.740413	0.0874902
SRX176864	TFs and others	GATA3	Breast	MCF-7	35095	146/2546	13/81	-3.04017	-0.740413	0.357303
SRX317605	TFs and others	JARID2	Pluripotent stem cell	iPS cells	1110	0/2546	2/81	-3.02718	-0.740413	0
SRX359973	TFs and others	STAT6	Digestive tract	LoVo	36	0/2546	2/81	-3.02718	-0.740413	0
SRX9550856	TFs and others	FOXA1	Prostate	Prostate cancer	28991	246/2546	18/81	-3.01519	-0.740413	0.4348
SRX2765968	TFs and others	HMGB2	Lung	Lung fibroblasts	540	21/2546	5/81	-3.01184	-0.740413	0.133621
SRX4663590	TFs and others	NCOA3	Breast	MCF-7	1955	21/2546	5/81	-3.01184	-0.740413	0.133621
SRX5323877	TFs and others	ESR1	Breast	MCF-7	19680	314/2546	21/81	-2.99431	-0.740413	0.475704
SRX3285603	TFs and others	ESR1	Breast	FULR	10149	248/2546	18/81	-2.98677	-0.740413	0.438335
SRX6473440	TFs and others	Epitope tags	Pluripotent stem cell	hESC derived neural crests	16269	403/2546	25/81	-2.97851	-0.740413	0.512852
SRX1070161	TFs and others	AR	Breast	MDA-MB-453	18935	77/2546	9/81	-2.97026	-0.740413	0.272192
SRX1012598	TFs and others	ESR1	Breast	T-47D	7444	94/2546	10/81	-2.96154	-0.740413	0.299057
SRX1012614	TFs and others	EP300	Breast	T-47D	4785	94/2546	10/81	-2.96154	-0.740413	0.299057
SRX6058753	TFs and others	PGR	Breast	T-47D	8293	94/2546	10/81	-2.96154	-0.740413	0.299057
SRX371477	TFs and others	ESR1	Breast	MCF-7	21076	250/2546	18/81	-2.95737	-0.740413	0.44187
SRX371480	TFs and others	FOXA1	Breast	MCF-7	23140	250/2546	18/81	-2.95737	-0.740413	0.44187
SRX371475	TFs and others	ESR1	Breast	BT-474	19871	361/2546	23/81	-2.95482	-0.740413	0.499351
SRX7135367	TFs and others	HDAC1	Blood	K-562	6839	878/2546	14/81	-2.94018	-0.740413	1.99523
SRX026902	TFs and others	ESR1	Breast	MCF-7	661	12/2546	4/81	-2.93884	-0.740413	0.0954438
SRX1830460	TFs and others	Epitope tags	Blood	Jurkat	330	12/2546	4/81	-2.93884	-0.740413	0.0954438
SRX4451202	TFs and others	ESR1	Breast	MCF-7	2198	12/2546	4/81	-2.93884	-0.740413	0.0954438
SRX7282935	TFs and others	ESR1	Breast	ZR-75-1	3341	12/2546	4/81	-2.93884	-0.740413	0.0954438
SRX1012606	TFs and others	EP300	Breast	T-47D	1291	22/2546	5/81	-2.93342	-0.740413	0.139984
SRX3584304	TFs and others	RARA	Pluripotent stem cell	iPS derived chondrocytes	1999	22/2546	5/81	-2.93342	-0.740413	0.139984
SRX3401276	TFs and others	CTBP2	Breast	MCF-7	3208	34/2546	6/81	-2.92683	-0.738372	0.180283
SRX5323846	TFs and others	FOXA1	Breast	MCF-7	15521	171/2546	14/81	-2.9092	-0.72524	0.388593
SRX2922227	TFs and others	ESR1	Breast	MCF-7	4974	414/2546	25/81	-2.89535	-0.715844	0.52685
SRX176884	TFs and others	EP300	Breast	MCF-7	10253	152/2546	13/81	-2.8884	-0.713306	0.371986
SRX371471	TFs and others	ESR1	Breast	ZR-75-1	49023	369/2546	23/81	-2.8722	-0.7084	0.510417
SRX3584303	TFs and others	RARA	Pluripotent stem cell	iPS derived chondrocytes	3235	35/2546	6/81	-2.8688	-0.7084	0.185585
SRX1012611	TFs and others	EP300	Breast	T-47D	4792	80/2546	9/81	-2.86242	-0.7084	0.282797
SRX1787677	TFs and others	KMT2C	Breast	MCF-7	5943	134/2546	12/81	-2.85462	-0.7084	0.355263
SRX2943591	TFs and others	ESR1	Breast	MCF-7	22398	371/2546	23/81	-2.84936	-0.7084	0.513184
SRX490434	TFs and others	ESR1	Breast	MCF-7	1103	5/2546	3/81	-2.84933	-0.7084	0.0530244
SRX150435	TFs and others	FOS	Blood	K-562	8213	705/2546	10/81	-2.84567	-0.7084	2.24293
SRX015141	TFs and others	FOS	Blood	K-562	8231	703/2546	10/81	-2.84122	-0.7084	2.23657
SRX4663589	TFs and others	NCOA3	Breast	MCF-7	16414	116/2546	11/81	-2.8346	-0.7084	0.3355
SRX5089408	TFs and others	SMARCA4	Breast	MCF-7	2633	98/2546	10/81	-2.83397	-0.7084	0.311783
SRX7121997	TFs and others	SMARCA4	Breast	MCF-7	923	13/2546	4/81	-2.83257	-0.7084	0.103397
SRX190256	TFs and others	EP300	Breast	MCF-7	7607	195/2546	15/81	-2.83205	-0.7084	0.41359
SRX5527609	TFs and others	EP300	Cardiovascular	HAEC	19398	342/2546	22/81	-2.82635	-0.7084	0.494573
SRX5089412	TFs and others	SMARCA4	Breast	MCF-7	1479	65/2546	8/81	-2.8176	-0.7084	0.258494
SRX10382403	TFs and others	QSER1	Pluripotent stem cell	hESC H1	6435	217/2546	0/81	-2.81512	-0.7084	inf
SRX5089428	TFs and others	SMARCB1	Breast	MCF-7	997	36/2546	6/81	-2.81255	-0.7084	0.190888
SRX1787678	TFs and others	KMT2C	Breast	MCF-7	2309	50/2546	7/81	-2.80885	-0.7084	0.227247
SRX361226	TFs and others	GATA3	Breast	MCF-7	10791	99/2546	10/81	-2.80311	-0.7084	0.314965
SRX5287694	TFs and others	YAP1	Breast	T-47D	6611	136/2546	12/81	-2.80279	-0.7084	0.360566
SRX1012654	TFs and others	PGR	Breast	MCF-7	13035	176/2546	14/81	-2.7957	-0.7084	0.399955
SRX3123822	TFs and others	ESR1	Breast	MCF-7	10098	82/2546	9/81	-2.79326	-0.7084	0.289866
SRX186821	TFs and others	ESR1	Breast	Breast cancer	1117	24/2546	5/81	-2.78683	-0.7084	0.15271
SRX3584307	TFs and others	RARA	Pluripotent stem cell	iPS derived chondrocytes	1733	24/2546	5/81	-2.78683	-0.7084	0.15271
SRX2867672	TFs and others	GFP	Kidney	293	36156	1580/2546	36/81	-2.7804	-0.7084	1.39631
SRX10721431	TFs and others	Epitope tags	Breast	MCF-7	6080	66/2546	8/81	-2.77878	-0.7084	0.262471
SRX5089393	TFs and others	ARID1A	Breast	MCF-7	2796	66/2546	8/81	-2.77878	-0.7084	0.262471
SRX8080546	TFs and others	Epitope tags	Breast	Mammary gland ductal carcinoma	6615	118/2546	11/81	-2.77876	-0.7084	0.341284
SRX2268291	TFs and others	CHD1	Others	Mesenchymal stem cells	6455	100/2546	10/81	-2.77265	-0.707954	0.318146
SRX330070	TFs and others	ESR1	Breast	MCF-7	19588	210/2546	16/81	-2.76719	-0.707954	0.417567
SRX1336216	TFs and others	ESR1	Breast	T-47D	5348	37/2546	6/81	-2.75797	-0.707954	0.19619
SRX190279	TFs and others	ESR1	Breast	T-47D	4162	37/2546	6/81	-2.75797	-0.707954	0.19619
SRX7540326	TFs and others	BRD4	Breast	MCF-7	953	37/2546	6/81	-2.75797	-0.707954	0.19619
SRX5738751	TFs and others	Crotonyllysine	Pluripotent stem cell	ES cells	17499	306/2546	20/81	-2.75709	-0.707954	0.486764
SRX2897197	TFs and others	ESR1	Breast	Breast cancer cells	19527	1514/2546	62/81	-2.75221	-0.707954	0.776892
SRX1012643	TFs and others	EP300	Breast	MCF-7	12350	178/2546	14/81	-2.75158	-0.707954	0.4045
SRX3584312	TFs and others	RARA	Pluripotent stem cell	iPS derived chondrocytes	1258	14/2546	4/81	-2.73364	-0.69332	0.111351
SRX6473451	TFs and others	Epitope tags	Pluripotent stem cell	hESC derived neural crests	3637	120/2546	11/81	-2.72416	-0.69332	0.347068
SRX4708110	TFs and others	RBM25	Liver	Hep G2	36164	1108/2546	21/81	-2.72023	-0.69332	1.6786
SRX150524	TFs and others	GATA3	Breast	MCF-7	6298	52/2546	7/81	-2.71974	-0.69332	0.236337
SRX6039042	TFs and others	RARA	Pluripotent stem cell	iPS derived chondrocytes	2151	25/2546	5/81	-2.71815	-0.69332	0.159073
SRX371468	TFs and others	ESR1	Breast	MCF-7	21179	216/2546	16/81	-2.70836	-0.69332	0.429497
SRX2943589	TFs and others	ESR1	Breast	MCF-7	17457	310/2546	20/81	-2.7055	-0.69332	0.493126
SRX194581	TFs and others	TLE3	Breast	MCF-7	2211	38/2546	6/81	-2.70498	-0.69332	0.201493
SRX5323876	TFs and others	ESR1	Breast	MCF-7	13946	282/2546	19/81	-2.70369	-0.69332	0.472196
SRX3236738	TFs and others	BRD2	Lung	NCI-H1299	1901	68/2546	8/81	-2.70323	-0.69332	0.270424
SRX5089429	TFs and others	SMARCB1	Breast	MCF-7	4880	121/2546	11/81	-2.69732	-0.69332	0.349961
SRX6840505	TFs and others	HAP1	Blood	KBM-7	9319	121/2546	11/81	-2.69732	-0.69332	0.349961
SRX6977280	TFs and others	Epitope tags	Neural	BE(2)-C	5870	1131/2546	22/81	-2.69619	-0.69332	1.63556
SRX5738756	TFs and others	Crotonyllysine	Pluripotent stem cell	hESC derived Endodermal cells	27111	524/2546	29/81	-2.69379	-0.69332	0.574857
SRX371472	TFs and others	ESR1	Breast	T-47D	11692	218/2546	16/81	-2.68505	-0.692551	0.433474
SRX6961665	TFs and others	SUPT5H	Digestive tract	HCT 116	13616	1393/2546	30/81	-2.68451	-0.692551	1.47726
SRX3285613	TFs and others	KDM5B	Breast	C70R	2328	103/2546	10/81	-2.6836	-0.692551	0.32769
SRX4451216	TFs and others	ESR1	Breast	MCF-7	9685	141/2546	12/81	-2.67768	-0.692551	0.373822
SRX190317	TFs and others	TCF12	Breast	MCF-7	5143	161/2546	13/81	-2.67576	-0.692551	0.394012
SRX5323845	TFs and others	FOXA1	Breast	MCF-7	16305	161/2546	13/81	-2.67576	-0.692551	0.394012
SRX10881810	TFs and others	BRD7	Kidney	G-401	2007	69/2546	8/81	-2.66645	-0.686051	0.274401
SRX4815192	TFs and others	TLE3	Breast	MCF-7	35126	328/2546	21/81	-2.65735	-0.685312	0.496914
SRX2912065	TFs and others	ESR1	Breast	MCF-7	871	39/2546	6/81	-2.65351	-0.685312	0.206795
SRX190174	TFs and others	JUND	Breast	T-47D	5212	162/2546	13/81	-2.65318	-0.685312	0.396459
SRX3584305	TFs and others	RARA	Pluripotent stem cell	iPS derived chondrocytes	2900	26/2546	5/81	-2.65227	-0.685312	0.165436
SRX5738754	TFs and others	Crotonyllysine	Pluripotent stem cell	hESC derived Endodermal cells	24362	476/2546	27/81	-2.65005	-0.685312	0.56088
SRX6473449	TFs and others	Epitope tags	Pluripotent stem cell	hESC derived neural crests	3217	123/2546	11/81	-2.64452	-0.685312	0.355745
SRX371439	TFs and others	ESR1	Others	Tumour tissues	10495	183/2546	14/81	-2.6444	-0.685312	0.415862
SRX3584301	TFs and others	RARA	Pluripotent stem cell	iPS cells	868	15/2546	4/81	-2.6412	-0.685312	0.119305
SRX6413748	TFs and others	ESR1	Breast	MCF-7	664	15/2546	4/81	-2.6412	-0.685312	0.119305
SRX5534843	TFs and others	ESR1	Breast	MCF-7	3201	54/2546	7/81	-2.63451	-0.681263	0.245427
SRX1012599	TFs and others	ESR1	Breast	T-47D	5087	70/2546	8/81	-2.63032	-0.681206	0.278378
SRX5089386	TFs and others	ARID1A	Breast	MCF-7	4586	87/2546	9/81	-2.62922	-0.681206	0.307541
SRX5738752	TFs and others	Crotonyllysine	Pluripotent stem cell	ES cells	23186	378/2546	23/81	-2.62459	-0.679169	0.522866
SRX8080560	TFs and others	Epitope tags	Breast	Mammary gland adenocarcinoma	10234	223/2546	16/81	-2.62064	-0.677796	0.443416
SRX1161181	TFs and others	NR3C1	Breast	ZR-75-1	14518	144/2546	12/81	-2.60554	-0.668669	0.381775
SRX1161186	TFs and others	ESR1	Breast	ZR-75-1	14212	144/2546	12/81	-2.60554	-0.668669	0.381775
SRX3123810	TFs and others	ESR1	Breast	MCF-7	11597	88/2546	9/81	-2.59784	-0.668669	0.311076
SRX5738755	TFs and others	Crotonyllysine	Pluripotent stem cell	hESC derived Endodermal cells	24048	432/2546	25/81	-2.59698	-0.668669	0.549756
SRX9178854	TFs and others	HAP1	Blood	HAP1	2625	55/2546	7/81	-2.59328	-0.668669	0.249972
SRX1012610	TFs and others	EP300	Breast	T-47D	8311	125/2546	11/81	-2.59288	-0.668669	0.36153
SRX10365515	TFs and others	AR	Breast	MCF-7	2853	27/2546	5/81	-2.58898	-0.668669	0.171799
SRX10365557	TFs and others	ESR1	Breast	MCF-7	3748	27/2546	5/81	-2.58898	-0.668669	0.171799
SRX5287691	TFs and others	ESR1	Breast	T-47D	3937	27/2546	5/81	-2.58898	-0.668669	0.171799
SRX1514973	TFs and others	GFP	Kidney	293	19348	1708/2546	41/81	-2.57612	-0.664793	1.32535
SRX5287695	TFs and others	YAP1	Breast	T-47D	5455	107/2546	10/81	-2.57001	-0.664793	0.340416
SRX471208	TFs and others	AR	Prostate	LNCAP	55197	89/2546	9/81	-2.56692	-0.664793	0.314611
SRX1042046	TFs and others	BPTF	Blood	Erythroid Cells	4101	513/2546	6/81	-2.56545	-0.664793	2.72015
SRX5089435	TFs and others	SMARCB1	Breast	MCF-7	2202	72/2546	8/81	-2.55992	-0.664793	0.286332
SRX4708036	TFs and others	RBM25	Liver	Hep G2	34959	1818/2546	45/81	-2.55889	-0.664793	1.28531
SRX1830461	TFs and others	Epitope tags	Blood	Jurkat	251	1/2546	2/81	-2.55886	-0.664793	0.0159073
SRX317606	TFs and others	EZH2	Pluripotent stem cell	iPS cells	1292	1/2546	2/81	-2.55886	-0.664793	0.0159073
SRX5089496	TFs and others	HDAC1	Breast	MCF-7	243	1/2546	2/81	-2.55886	-0.664793	0.0159073
SRX4663586	TFs and others	ESR1	Breast	MCF-7	6184	41/2546	6/81	-2.55485	-0.664793	0.2174
SRX3541099	TFs and others	ESR1	Breast	MCF-7	1397	16/2546	4/81	-2.55449	-0.664793	0.127258
SRX3584311	TFs and others	RARA	Pluripotent stem cell	iPS derived chondrocytes	968	16/2546	4/81	-2.55449	-0.664793	0.127258
SRX6777396	TFs and others	ESR1	Breast	MCF-7	2088	16/2546	4/81	-2.55449	-0.664793	0.127258
SRX5323871	TFs and others	ESR1	Breast	MCF-7	24701	439/2546	25/81	-2.54403	-0.660575	0.558665
SRX5203294	TFs and others	FOXA1	Breast	MCF-7	15107	127/2546	11/81	-2.54235	-0.660575	0.367314
SRX3089115	TFs and others	SMARCA2	Liver	Hep G2	422	7/2546	3/81	-2.53779	-0.660575	0.0742341
SRX4451200	TFs and others	ESR1	Breast	MCF-7	1444	7/2546	3/81	-2.53779	-0.660575	0.0742341
SRX6777397	TFs and others	ESR1	Breast	MCF-7	1047	7/2546	3/81	-2.53779	-0.660575	0.0742341
SRX5089440	TFs and others	SMARCB1	Breast	MCF-7	3676	90/2546	9/81	-2.53643	-0.660575	0.318146
SRX5323843	TFs and others	FOXA1	Breast	MCF-7	20551	203/2546	15/81	-2.53001	-0.660575	0.430558
SRX100550	TFs and others	SP1	Blood	K-562	3954	602/2546	8/81	-2.52916	-0.660575	2.39405
SRX1531794	TFs and others	MED1	Breast	MCF-7	1009	28/2546	5/81	-2.52811	-0.660575	0.178162
SRX6039039	TFs and others	RARA	Pluripotent stem cell	iPS derived chondrocytes	1820	28/2546	5/81	-2.52811	-0.660575	0.178162
SRX150585	TFs and others	NFYA	Blood	GM12878	1488	322/2546	2/81	-2.52325	-0.65787	5.12215
SRX1161183	TFs and others	ESR1	Breast	ZR-75-1	8487	128/2546	11/81	-2.51749	-0.656389	0.370206
SRX3080213	TFs and others	ESR1	Breast	MCF-7	11626	128/2546	11/81	-2.51749	-0.656389	0.370206
SRX7121994	TFs and others	SMARCA4	Breast	MCF-7	5825	109/2546	10/81	-2.51531	-0.656333	0.346779
SRX1165103	TFs and others	Epitope tags	Liver	Hep G2	14965	1431/2546	32/81	-2.50881	-0.651947	1.42271
ERX470435	TFs and others	NRIP1	Breast	MCF-7	8823	91/2546	9/81	-2.50638	-0.65162	0.321681
SRX1048461	TFs and others	SPI1	Blood	DOHH-2	43434	420/2546	4/81	-2.49913	-0.649563	3.34053
SRX371470	TFs and others	ESR1	Breast	ZR-75-1	37855	346/2546	21/81	-2.49717	-0.649563	0.524184
SRX5089414	TFs and others	SMARCA4	Breast	MCF-7	3609	129/2546	11/81	-2.49291	-0.649563	0.373099
SRX9469987	TFs and others	AR	Prostate	LAPC-4	45228	129/2546	11/81	-2.49291	-0.649563	0.373099
SRX4417023	TFs and others	ESR1	Breast	MCF-7	3112	74/2546	8/81	-2.4919	-0.649563	0.294285
SRX1012659	TFs and others	PGR	Breast	MCF-7	10735	149/2546	12/81	-2.48988	-0.649563	0.395031
SRX176859	TFs and others	ESR1	Breast	MCF-7	11842	149/2546	12/81	-2.48988	-0.649563	0.395031
SRX1469952	TFs and others	ESR1	Breast	T-47D	3931	92/2546	9/81	-2.47676	-0.641212	0.325216
SRX5287690	TFs and others	ESR1	Breast	T-47D	1908	17/2546	4/81	-2.47292	-0.641212	0.135212
SRX6757657	TFs and others	ESR1	Breast	MCF-7	2924	17/2546	4/81	-2.47292	-0.641212	0.135212
SRX1538758	TFs and others	NR1H2	Digestive tract	HT-29	6034	317/2546	20/81	-2.472	-0.641212	0.504262
SRX6039040	TFs and others	RARA	Pluripotent stem cell	iPS derived chondrocytes	1940	29/2546	5/81	-2.46952	-0.641212	0.184525
SRX8080554	TFs and others	Epitope tags	Breast	Mammary gland adenocarcinoma	2684	29/2546	5/81	-2.46952	-0.641212	0.184525
SRX186675	TFs and others	KDM4A	Pluripotent stem cell	hESC H1	14730	467/2546	26/81	-2.46219	-0.638027	0.571439
SRX5089407	TFs and others	SMARCA4	Breast	MCF-7	2336	75/2546	8/81	-2.45874	-0.638027	0.298262
SRX5089436	TFs and others	SMARCB1	Breast	MCF-7	2321	75/2546	8/81	-2.45874	-0.638027	0.298262
SRX6384755	TFs and others	MED26	Digestive tract	HCT 116	19104	1846/2546	46/81	-2.45626	-0.638027	1.27673
SRX116463	TFs and others	KDM4A	Pluripotent stem cell	hESC H1	14674	468/2546	26/81	-2.45603	-0.638027	0.572663
SRX8873458	TFs and others	BANP	Breast	HCC1954	5178	415/2546	24/81	-2.45465	-0.638027	0.550128
SRX5089415	TFs and others	SMARCA4	Breast	MCF-7	2066	93/2546	9/81	-2.44755	-0.634534	0.328751
SRX8080551	TFs and others	Epitope tags	Breast	Mammary gland ductal carcinoma	18657	816/2546	39/81	-2.44733	-0.634534	0.66566
SRX8080558	TFs and others	Epitope tags	Breast	Mammary gland adenocarcinoma	13314	131/2546	11/81	-2.44451	-0.633615	0.378883
SRX1012640	TFs and others	EP300	Breast	MCF-7	3157	59/2546	7/81	-2.43678	-0.628601	0.268152
SRX150642	TFs and others	ZNF217	Breast	MCF-7	5163	112/2546	10/81	-2.43572	-0.628601	0.356324
SRX6473448	TFs and others	Epitope tags	Pluripotent stem cell	hESC derived neural crests	5029	211/2546	15/81	-2.4337	-0.628457	0.447526
SRX5089388	TFs and others	ARID1A	Breast	MCF-7	14663	236/2546	16/81	-2.42934	-0.626365	0.469266
SRX4484984	TFs and others	SPI1	Blood	SEM	37198	257/2546	1/81	-2.42788	-0.626365	8.17636
SRX1012630	TFs and others	ESR1	Breast	MCF-7	14299	132/2546	11/81	-2.4207	-0.624337	0.381775
SRX3123823	TFs and others	ESR1	Breast	MCF-7	14778	132/2546	11/81	-2.4207	-0.624337	0.381775
