SRX6957431	TFs and others	FOXL2	Gonad	KGN	58957	50/145	147/256	-4.93022	-1.32655	0.600516
SRX471323	TFs and others	BCL11A	Blood	CAL-1	277	8/145	0/256	-3.58904	-1.32655	inf
SRX4727909	TFs and others	KDM6A	Pluripotent stem cell	hESC derived neural cells	532	8/145	0/256	-3.58904	-1.32655	inf
SRX5255114	TFs and others	Epitope tags	Kidney	HK-2	699	8/145	0/256	-3.58904	-1.32655	inf
SRX5359049	TFs and others	SREBF2	Breast	HCC70	10962	8/145	0/256	-3.58904	-1.32655	inf
SRX5444559	TFs and others	KDM6A	Pluripotent stem cell	hESC derived neural cells	551	8/145	0/256	-3.58904	-1.32655	inf
SRX5729949	TFs and others	AR	Prostate	LNCAP	8339	8/145	0/256	-3.58904	-1.32655	inf
SRX6605228	TFs and others	ORC1	Uterus	HeLa	224	8/145	0/256	-3.58904	-1.32655	inf
SRX673717	TFs and others	Biotin	Breast	MCF-7	425	8/145	0/256	-3.58904	-1.32655	inf
SRX673726	TFs and others	Biotin	Breast	MCF-7	891	8/145	0/256	-3.58904	-1.32655	inf
SRX7101365	TFs and others	TEAD1	Breast	Breast cancer cells	414	8/145	0/256	-3.58904	-1.32655	inf
SRX7101366	TFs and others	TEAD1	Breast	Breast cancer cells	374	8/145	0/256	-3.58904	-1.32655	inf
SRX7540328	TFs and others	BRD4	Breast	MCF-7	1163	8/145	0/256	-3.58904	-1.32655	inf
SRX7654168	TFs and others	EZH2	Prostate	DU 145	589	8/145	0/256	-3.58904	-1.32655	inf
SRX7981733	TFs and others	EP300	Prostate	Prostate cancer	241	8/145	0/256	-3.58904	-1.32655	inf
SRX8602204	TFs and others	IRF4	Blood	OCI-LY-3	1056	8/145	0/256	-3.58904	-1.32655	inf
SRX8616363	TFs and others	KSHV LANA	Blood	BJAB	520	8/145	0/256	-3.58904	-1.32655	inf
SRX1555436	TFs and others	MITF	Epidermis	501A	23242	35/145	26/256	-3.5726	-1.32655	2.37666
SRX6854834	TFs and others	Epitope tags	Epidermis	501A	77926	21/145	10/256	-3.52712	-1.32655	3.70759
SRX4714469	TFs and others	GTF3C2	Neural	T98G	6940	18/145	7/256	-3.48345	-1.32655	4.5399
SRX6969885	TFs and others	CHD6	Cardiovascular	Cardiomyocytes	731	18/145	7/256	-3.48345	-1.32655	4.5399
SRX150557	TFs and others	RELA	Blood	GM12878	10091	8/145	46/256	-3.42231	-1.32655	0.307046
SRX667414	TFs and others	Epitope tags	Breast	MCF-7	20211	39/145	32/256	-3.41392	-1.32655	2.15172
SRX2431535	TFs and others	POU5F1	Epidermis	BJ	689	11/145	2/256	-3.40459	-1.32655	9.71034
SRX8616359	TFs and others	KSHV LANA	Blood	BJAB	1251	11/145	2/256	-3.40459	-1.32655	9.71034
SRX9600651	TFs and others	G-quadruplex	Blood	K-562	309	11/145	2/256	-3.40459	-1.32655	9.71034
SRX119640	TFs and others	Epitope tags	Lung	A549	778	15/145	5/256	-3.36321	-1.32655	5.29655
SRX11196921	TFs and others	NELFB	Kidney	293	1737	6/145	39/256	-3.32725	-1.32655	0.271618
SRX327751	TFs and others	BRD4	Neural	U-87 MG	46177	84/145	192/256	-3.30516	-1.32655	0.772414
SRX667413	TFs and others	Epitope tags	Breast	MCF-7	27244	41/145	35/256	-3.28881	-1.32655	2.06818
SRX2452429	TFs and others	ETS1	Cardiovascular	HUVEC	2989	9/145	48/256	-3.28484	-1.32655	0.331034
SRX189742	TFs and others	ETS1	Cardiovascular	HUVEC	2988	9/145	47/256	-3.28039	-1.32655	0.338078
SRX3599294	TFs and others	ETS1	Cardiovascular	HUVEC	2989	9/145	47/256	-3.28039	-1.32655	0.338078
SRX9600616	TFs and others	G-quadruplex	Blood	K-562	368	14/145	4/256	-3.27103	-1.32655	6.17931
SRX3540554	TFs and others	NRF1	Uterus	HeLa	397	12/145	3/256	-3.26802	-1.32655	7.06207
SRX3768264	TFs and others	USF2	Blood	K-562	947	12/145	3/256	-3.26802	-1.32655	7.06207
SRX4663586	TFs and others	ESR1	Breast	MCF-7	6184	12/145	3/256	-3.26802	-1.32655	7.06207
SRX5141102	TFs and others	IRF8	Blood	THP-1	4218	12/145	3/256	-3.26802	-1.32655	7.06207
SRX5157150	TFs and others	CEBPA	Blood	THP-1	8024	12/145	3/256	-3.26802	-1.32655	7.06207
SRX5157159	TFs and others	CEBPA	Blood	THP-1	7388	12/145	3/256	-3.26802	-1.32655	7.06207
SRX848605	TFs and others	MIF	Uterus	HeLa	224	12/145	3/256	-3.26802	-1.32655	7.06207
SRX6099459	TFs and others	POU2F2	Blood	DLBCL	22864	20/145	74/256	-3.25229	-1.32655	0.477167
SRX1515063	TFs and others	GFP	Kidney	293	2221	22/145	12/256	-3.24088	-1.32655	3.23678
SRX100430	TFs and others	HEY1	Blood	K-562	19071	39/145	113/256	-3.2115	-1.32655	0.609338
SRX1136633	TFs and others	GTF2B	Uterus	HeLa	318	9/145	1/256	-3.20928	-1.32655	15.8897
SRX2912065	TFs and others	ESR1	Breast	MCF-7	871	9/145	1/256	-3.20928	-1.32655	15.8897
SRX3271009	TFs and others	KDM1A	Pluripotent stem cell	hESC derived pancreatic cells	2246	9/145	1/256	-3.20928	-1.32655	15.8897
SRX3417631	TFs and others	VDR	Digestive tract	Colonic organoids	714	9/145	1/256	-3.20928	-1.32655	15.8897
SRX4345361	TFs and others	NFATC1	Blood	CD4+ T cells	404	9/145	1/256	-3.20928	-1.32655	15.8897
SRX5089378	TFs and others	ARID1A	Breast	MCF-7	517	9/145	1/256	-3.20928	-1.32655	15.8897
SRX5157162	TFs and others	CEBPA	Blood	THP-1	3615	9/145	1/256	-3.20928	-1.32655	15.8897
SRX5157163	TFs and others	CEBPA	Blood	THP-1	3163	9/145	1/256	-3.20928	-1.32655	15.8897
SRX6077667	TFs and others	MEN1	Prostate	PC-3	796	9/145	1/256	-3.20928	-1.32655	15.8897
SRX6101049	TFs and others	NUTM1	Others	TC-797	1107	9/145	1/256	-3.20928	-1.32655	15.8897
SRX7712487	TFs and others	HIF1A	Digestive tract	HCT 116	372	9/145	1/256	-3.20928	-1.32655	15.8897
SRX8400466	TFs and others	TP63	Others	CAL 27	805	9/145	1/256	-3.20928	-1.32655	15.8897
SRX8616361	TFs and others	KSHV LANA	Blood	BJAB	818	9/145	1/256	-3.20928	-1.32655	15.8897
SRX9031538	TFs and others	KDM6A	Others	UM-UC-1	1004	9/145	1/256	-3.20928	-1.32655	15.8897
SRX9565528	TFs and others	Epitope tags	Kidney	293	166	9/145	1/256	-3.20928	-1.32655	15.8897
SRX150725	TFs and others	USF2	Liver	Hep G2	4970	26/145	17/256	-3.16671	-1.32655	2.7002
SRX1514981	TFs and others	GFP	Kidney	293	4194	26/145	17/256	-3.16671	-1.32655	2.7002
SRX1660875	TFs and others	TRIM25	Breast	Breast cancer cells	14495	43/145	38/256	-3.16147	-1.32655	1.99782
SRX2578880	TFs and others	ESR1	Breast	MDA-MB-231	11938	43/145	38/256	-3.16147	-1.32655	1.99782
SRX2683609	TFs and others	Epitope tags	Kidney	293	643	2/145	25/256	-3.15492	-1.32655	0.141241
DRX059607	TFs and others	MLLT6	Blood	HB1119	545	7/145	0/256	-3.13343	-1.32655	inf
DRX059610	TFs and others	CBX8	Blood	HB1119	793	7/145	0/256	-3.13343	-1.32655	inf
DRX059611	TFs and others	DOT1L	Blood	HB1119	637	7/145	0/256	-3.13343	-1.32655	inf
DRX300409	TFs and others	ING4	Blood	HB1119	411	7/145	0/256	-3.13343	-1.32655	inf
ERX1234993	TFs and others	TAF3	Liver	Hep G2	3716	7/145	0/256	-3.13343	-1.32655	inf
ERX1234994	TFs and others	TAF3	Liver	Hep G2	360	7/145	0/256	-3.13343	-1.32655	inf
ERX371713	TFs and others	BRD4	Breast	Mammary epithelial cells	1064	7/145	0/256	-3.13343	-1.32655	inf
ERX626802	TFs and others	CTCF	Blood	U-937	385	7/145	0/256	-3.13343	-1.32655	inf
ERX626806	TFs and others	CTCF	Blood	HL-60	300	7/145	0/256	-3.13343	-1.32655	inf
ERX626816	TFs and others	RAD21	Blood	U-937	130	7/145	0/256	-3.13343	-1.32655	inf
ERX626826	TFs and others	RAD21	Blood	U-937	141	7/145	0/256	-3.13343	-1.32655	inf
SRX026651	TFs and others	MethylCap	Blood	Acute myeloid leukemia	930	7/145	0/256	-3.13343	-1.32655	inf
SRX10119167	TFs and others	MYB	Blood	MV-4-11	296	7/145	0/256	-3.13343	-1.32655	inf
SRX10119168	TFs and others	MYB	Blood	MV-4-11	282	7/145	0/256	-3.13343	-1.32655	inf
SRX10119169	TFs and others	MYB	Blood	MV-4-11	357	7/145	0/256	-3.13343	-1.32655	inf
SRX10306507	TFs and others	AR	Prostate	LNCAP	552	7/145	0/256	-3.13343	-1.32655	inf
SRX10365545	TFs and others	NCOA3	Breast	MCF-7	374	7/145	0/256	-3.13343	-1.32655	inf
SRX1063404	TFs and others	CTCF	Blood	THP-1	780	7/145	0/256	-3.13343	-1.32655	inf
SRX10809340	TFs and others	PSIP1	Neural	DIPG7	199	7/145	0/256	-3.13343	-1.32655	inf
SRX1089824	TFs and others	GATA1	Blood	Hematopoietic Stem Cells	438	7/145	0/256	-3.13343	-1.32655	inf
SRX1097313	TFs and others	ATRX	Blood	K-562	372	7/145	0/256	-3.13343	-1.32655	inf
SRX11136856	TFs and others	KDM6A	Blood	THP-1	623	7/145	0/256	-3.13343	-1.32655	inf
SRX11136857	TFs and others	KDM6A	Blood	THP-1	537	7/145	0/256	-3.13343	-1.32655	inf
SRX113584	TFs and others	PCGF5	Kidney	293	165	7/145	0/256	-3.13343	-1.32655	inf
SRX1295733	TFs and others	CHAT	Neural	SH-SY5Y	2018	7/145	0/256	-3.13343	-1.32655	inf
SRX1295734	TFs and others	CHAT	Neural	SH-SY5Y	2772	7/145	0/256	-3.13343	-1.32655	inf
SRX1295736	TFs and others	SATB1	Neural	SH-SY5Y	1244	7/145	0/256	-3.13343	-1.32655	inf
SRX1457740	TFs and others	Epitope tags	Kidney	293	4857	7/145	0/256	-3.13343	-1.32655	inf
SRX1457741	TFs and others	Epitope tags	Kidney	293	801	7/145	0/256	-3.13343	-1.32655	inf
SRX1528430	TFs and others	HIF1A	Lung	NCI-H1299	54	7/145	0/256	-3.13343	-1.32655	inf
SRX1532011	TFs and others	SON	Blood	K-562	198	7/145	0/256	-3.13343	-1.32655	inf
SRX1629252	TFs and others	ERG	Prostate	VCaP	994	7/145	0/256	-3.13343	-1.32655	inf
SRX1672138	TFs and others	RELA	Lung	BEAS-2B	204	7/145	0/256	-3.13343	-1.32655	inf
SRX1674502	TFs and others	ZMYND8	Uterus	HeLa	279	7/145	0/256	-3.13343	-1.32655	inf
SRX173195	TFs and others	AR	Prostate	LNCAP	129	7/145	0/256	-3.13343	-1.32655	inf
SRX1735801	TFs and others	Epitope tags	Blood	MOLM-13	423	7/145	0/256	-3.13343	-1.32655	inf
SRX1735802	TFs and others	Epitope tags	Blood	MOLM-13	444	7/145	0/256	-3.13343	-1.32655	inf
SRX1735803	TFs and others	Epitope tags	Blood	MOLM-13	457	7/145	0/256	-3.13343	-1.32655	inf
SRX176865	TFs and others	GATA3	Breast	MCF-7	1939	7/145	0/256	-3.13343	-1.32655	inf
SRX176869	TFs and others	GATA3	Breast	MCF-7	1222	7/145	0/256	-3.13343	-1.32655	inf
SRX176870	TFs and others	GATA3	Breast	MCF-7	1310	7/145	0/256	-3.13343	-1.32655	inf
SRX1845644	TFs and others	SMAD1	Epidermis	A-375	336	7/145	0/256	-3.13343	-1.32655	inf
SRX1936520	TFs and others	SMARCA4	Breast	T-47D	737	7/145	0/256	-3.13343	-1.32655	inf
SRX1936521	TFs and others	SMARCA4	Breast	T-47D	586	7/145	0/256	-3.13343	-1.32655	inf
SRX1995221	TFs and others	ESR1	Breast	MCF-7	72	7/145	0/256	-3.13343	-1.32655	inf
SRX1995223	TFs and others	FOXA1	Breast	MCF-7	276	7/145	0/256	-3.13343	-1.32655	inf
SRX2011490	TFs and others	EZH2	Neural	KELLY	365	7/145	0/256	-3.13343	-1.32655	inf
SRX2144097	TFs and others	Epitope tags	Neural	U-87 MG	292	7/145	0/256	-3.13343	-1.32655	inf
SRX2253219	TFs and others	CD74	Blood	B cells	404	7/145	0/256	-3.13343	-1.32655	inf
SRX2319754	TFs and others	VDR	Blood	THP-1	271	7/145	0/256	-3.13343	-1.32655	inf
SRX2319755	TFs and others	VDR	Blood	THP-1	241	7/145	0/256	-3.13343	-1.32655	inf
SRX2319758	TFs and others	VDR	Blood	THP-1	237	7/145	0/256	-3.13343	-1.32655	inf
SRX2319759	TFs and others	VDR	Blood	THP-1	543	7/145	0/256	-3.13343	-1.32655	inf
SRX2319762	TFs and others	VDR	Blood	THP-1	353	7/145	0/256	-3.13343	-1.32655	inf
SRX2319765	TFs and others	VDR	Blood	THP-1	1532	7/145	0/256	-3.13343	-1.32655	inf
SRX2541229	TFs and others	AR	Prostate	Prostate cancer cells	449	7/145	0/256	-3.13343	-1.32655	inf
SRX2545997	TFs and others	METTL3	Blood	MOLM-13	89	7/145	0/256	-3.13343	-1.32655	inf
SRX2545998	TFs and others	METTL3	Blood	MOLM-13	350	7/145	0/256	-3.13343	-1.32655	inf
SRX2546001	TFs and others	METTL3	Blood	MOLM-13	664	7/145	0/256	-3.13343	-1.32655	inf
SRX2546002	TFs and others	METTL14	Blood	MOLM-13	230	7/145	0/256	-3.13343	-1.32655	inf
SRX2546004	TFs and others	METTL14	Blood	MOLM-13	496	7/145	0/256	-3.13343	-1.32655	inf
SRX2546006	TFs and others	METTL14	Blood	MOLM-13	441	7/145	0/256	-3.13343	-1.32655	inf
SRX2614803	TFs and others	DNMT3B	Blood	B Lymphoblastoid cell line	532	7/145	0/256	-3.13343	-1.32655	inf
SRX2662142	TFs and others	SMARCC1	Breast	HMLE	200	7/145	0/256	-3.13343	-1.32655	inf
SRX3055413	TFs and others	AR	Prostate	R1-D567	321	7/145	0/256	-3.13343	-1.32655	inf
SRX3154232	TFs and others	BRD4	Blood	BCBL1	183	7/145	0/256	-3.13343	-1.32655	inf
SRX3159238	TFs and others	BRD4	Prostate	LNCAP	405	7/145	0/256	-3.13343	-1.32655	inf
SRX3216829	TFs and others	NOTCH3	Blood	T-ALL	174	7/145	0/256	-3.13343	-1.32655	inf
SRX3229184	TFs and others	NR3C1	Breast	Breast cancer	293	7/145	0/256	-3.13343	-1.32655	inf
SRX329001	TFs and others	Epitope tags	Breast	T-47D	364	7/145	0/256	-3.13343	-1.32655	inf
SRX3426559	TFs and others	SMARCA4	Liver	Hep G2	176	7/145	0/256	-3.13343	-1.32655	inf
SRX3426560	TFs and others	SMARCA4	Liver	Hep G2	201	7/145	0/256	-3.13343	-1.32655	inf
SRX3541109	TFs and others	ESR1	Breast	MCF-7	329	7/145	0/256	-3.13343	-1.32655	inf
SRX3541113	TFs and others	SUMO2	Breast	MCF-7	815	7/145	0/256	-3.13343	-1.32655	inf
SRX3541114	TFs and others	SUMO2	Breast	MCF-7	794	7/145	0/256	-3.13343	-1.32655	inf
SRX3541116	TFs and others	SUMO2	Breast	MCF-7	688	7/145	0/256	-3.13343	-1.32655	inf
SRX3541117	TFs and others	SUMO2	Breast	MCF-7	532	7/145	0/256	-3.13343	-1.32655	inf
SRX3554400	TFs and others	ESR1	Breast	MDA-MB-134-VI	497	7/145	0/256	-3.13343	-1.32655	inf
SRX3581483	TFs and others	Epitope tags	Pluripotent stem cell	iPS derived neural cells	558	7/145	0/256	-3.13343	-1.32655	inf
SRX360402	TFs and others	VDR	Blood	THP-1	602	7/145	0/256	-3.13343	-1.32655	inf
SRX360404	TFs and others	VDR	Blood	THP-1	567	7/145	0/256	-3.13343	-1.32655	inf
SRX3862433	TFs and others	SMARCA4	Unclassified	Unclassified	335	7/145	0/256	-3.13343	-1.32655	inf
SRX3862434	TFs and others	SMARCA4	Unclassified	Unclassified	361	7/145	0/256	-3.13343	-1.32655	inf
SRX3862451	TFs and others	FOXA1	Breast	T-47D	279	7/145	0/256	-3.13343	-1.32655	inf
SRX3862454	TFs and others	FOXA1	Breast	T-47D	424	7/145	0/256	-3.13343	-1.32655	inf
SRX3862457	TFs and others	FOXA1	Breast	T-47D	430	7/145	0/256	-3.13343	-1.32655	inf
SRX3862460	TFs and others	FOXA1	Breast	T-47D	293	7/145	0/256	-3.13343	-1.32655	inf
SRX396278	TFs and others	EZH2	Kidney	293	389	7/145	0/256	-3.13343	-1.32655	inf
SRX4001968	TFs and others	FOS	Blood	THP-1	386	7/145	0/256	-3.13343	-1.32655	inf
SRX4170731	TFs and others	WDR5	Blood	MV-4-11	942	7/145	0/256	-3.13343	-1.32655	inf
SRX4170732	TFs and others	WDR5	Blood	MV-4-11	921	7/145	0/256	-3.13343	-1.32655	inf
SRX4172741	TFs and others	GATA1	Digestive tract	HCT 116	707	7/145	0/256	-3.13343	-1.32655	inf
SRX4284791	TFs and others	Epitope tags	Breast	T-47D	428	7/145	0/256	-3.13343	-1.32655	inf
SRX4284792	TFs and others	Epitope tags	Breast	T-47D	438	7/145	0/256	-3.13343	-1.32655	inf
SRX4397512	TFs and others	KMT2D	Pluripotent stem cell	NT2-D1	202	7/145	0/256	-3.13343	-1.32655	inf
SRX4404398	TFs and others	MYCN	Prostate	LNCAP	307	7/145	0/256	-3.13343	-1.32655	inf
SRX4599930	TFs and others	Epitope tags	Kidney	293	295	7/145	0/256	-3.13343	-1.32655	inf
SRX4779735	TFs and others	AR	Prostate	LNCAP	392	7/145	0/256	-3.13343	-1.32655	inf
SRX4781486	TFs and others	BRD3	Blood	Chronic myeloid leukemia	501	7/145	0/256	-3.13343	-1.32655	inf
SRX4781502	TFs and others	BRD4	Blood	Chronic myeloid leukemia	361	7/145	0/256	-3.13343	-1.32655	inf
SRX4894935	TFs and others	RELA	Kidney	293	233	7/145	0/256	-3.13343	-1.32655	inf
SRX503333	TFs and others	KSHV LANA	Others	LEC	493	7/145	0/256	-3.13343	-1.32655	inf
SRX5062488	TFs and others	Epitope tags	Blood	Jurkat	1384	7/145	0/256	-3.13343	-1.32655	inf
SRX5062489	TFs and others	Epitope tags	Blood	Jurkat	1417	7/145	0/256	-3.13343	-1.32655	inf
SRX5163340	TFs and others	SOD1	Uterus	HeLa	98	7/145	0/256	-3.13343	-1.32655	inf
SRX5323831	TFs and others	STAT3	Breast	T-47D	314	7/145	0/256	-3.13343	-1.32655	inf
SRX5323835	TFs and others	STAT3	Breast	T-47D	291	7/145	0/256	-3.13343	-1.32655	inf
SRX5323837	TFs and others	STAT3	Breast	T-47D	251	7/145	0/256	-3.13343	-1.32655	inf
SRX5323887	TFs and others	STAT3	Breast	T-47D	368	7/145	0/256	-3.13343	-1.32655	inf
SRX5359052	TFs and others	RORC	Breast	HCC70	15451	7/145	0/256	-3.13343	-1.32655	inf
SRX5359053	TFs and others	RORC	Breast	HCC70	14305	7/145	0/256	-3.13343	-1.32655	inf
SRX5444517	TFs and others	MEN1	Blood	MOLM-13	246	7/145	0/256	-3.13343	-1.32655	inf
SRX5444518	TFs and others	MEN1	Blood	MOLM-13	215	7/145	0/256	-3.13343	-1.32655	inf
SRX5444525	TFs and others	DOT1L	Blood	RS 411	158	7/145	0/256	-3.13343	-1.32655	inf
SRX5444527	TFs and others	MEN1	Blood	RS 411	180	7/145	0/256	-3.13343	-1.32655	inf
SRX5503140	TFs and others	STAT1	Blood	THP-1	404	7/145	0/256	-3.13343	-1.32655	inf
SRX5511307	TFs and others	ESR1	Breast	MDA-MB-231	394	7/145	0/256	-3.13343	-1.32655	inf
SRX5511312	TFs and others	ESR1	Breast	MDA-MB-231	375	7/145	0/256	-3.13343	-1.32655	inf
SRX5534844	TFs and others	ESR1	Breast	MCF-7	161	7/145	0/256	-3.13343	-1.32655	inf
SRX5567168	TFs and others	RNF2	Blood	Acute myeloid leukemia	202	7/145	0/256	-3.13343	-1.32655	inf
SRX5719616	TFs and others	CTCF	Blood	Jurkat	752	7/145	0/256	-3.13343	-1.32655	inf
SRX5849927	TFs and others	TP53	Lung	A549	606	7/145	0/256	-3.13343	-1.32655	inf
SRX5865978	TFs and others	TP53	Blood	MOLM-13	87	7/145	0/256	-3.13343	-1.32655	inf
SRX5865982	TFs and others	TP53	Blood	MOLM-13	308	7/145	0/256	-3.13343	-1.32655	inf
SRX5865987	TFs and others	TP53	Blood	MOLM-13	98	7/145	0/256	-3.13343	-1.32655	inf
SRX5865989	TFs and others	TP53	Blood	MOLM-13	131	7/145	0/256	-3.13343	-1.32655	inf
SRX595687	TFs and others	AR	Prostate	VCaP	512	7/145	0/256	-3.13343	-1.32655	inf
SRX6073301	TFs and others	IRF3	Blood	BC-3	324	7/145	0/256	-3.13343	-1.32655	inf
SRX6101039	TFs and others	NUTM1	Kidney	293	278	7/145	0/256	-3.13343	-1.32655	inf
SRX6384076	TFs and others	KAT7	Blood	MOLM-13	149	7/145	0/256	-3.13343	-1.32655	inf
SRX6384078	TFs and others	KAT7	Blood	OCI-AML3	290	7/145	0/256	-3.13343	-1.32655	inf
SRX647704	TFs and others	TP53	Breast	MDA-MB-175-VII	950	7/145	0/256	-3.13343	-1.32655	inf
SRX647705	TFs and others	TP53	Breast	MDA-MB-468	920	7/145	0/256	-3.13343	-1.32655	inf
SRX6480758	TFs and others	Epitope tags	Kidney	293	1811	7/145	0/256	-3.13343	-1.32655	inf
SRX6680401	TFs and others	CBX5	Bone	HT-1080	574	7/145	0/256	-3.13343	-1.32655	inf
SRX673713	TFs and others	Biotin	Breast	MCF-7	194	7/145	0/256	-3.13343	-1.32655	inf
SRX673714	TFs and others	Biotin	Breast	MCF-7	156	7/145	0/256	-3.13343	-1.32655	inf
SRX673716	TFs and others	Biotin	Breast	MCF-7	507	7/145	0/256	-3.13343	-1.32655	inf
SRX6853586	TFs and others	ARNT	Epidermis	SK-MEL-28	137	7/145	0/256	-3.13343	-1.32655	inf
SRX6913044	TFs and others	BRD3	Blood	THP-1	170	7/145	0/256	-3.13343	-1.32655	inf
SRX7101363	TFs and others	TEAD1	Breast	Breast cancer cells	430	7/145	0/256	-3.13343	-1.32655	inf
SRX7101370	TFs and others	TEAD1	Digestive tract	Pharynx cancer cells	327	7/145	0/256	-3.13343	-1.32655	inf
SRX728790	TFs and others	CDK12	Blood	THP-1	526	7/145	0/256	-3.13343	-1.32655	inf
SRX736072	TFs and others	EZH2	Prostate	LNCAP	503	7/145	0/256	-3.13343	-1.32655	inf
SRX7624159	TFs and others	NR2F2	Breast	T-47D	314	7/145	0/256	-3.13343	-1.32655	inf
SRX7624160	TFs and others	NR2F2	Breast	T-47D	528	7/145	0/256	-3.13343	-1.32655	inf
