SRX7972427	TFs and others	MKL1	Epidermis	MKL-1	27136	27/273	58/190	-7.62017	-3.34854	0.323986
SRX5089394	TFs and others	ARID1A	Breast	MCF-7	1215	23/273	0/190	-5.40457	-2.70218	inf
SRX973423	TFs and others	EHMT2	Kidney	293	969	23/273	0/190	-5.40457	-2.70218	inf
SRX4377544	TFs and others	BRD2	Breast	SUM 159PT	23777	148/273	143/190	-5.40045	-2.70218	0.720305
SRX1424696	TFs and others	NANOG	Prostate	LNCAP	697	24/273	0/190	-5.40026	-2.70218	inf
SRX4401061	TFs and others	RELA	Blood	BJAB	1509	24/273	0/190	-5.40026	-2.70218	inf
SRX5527615	TFs and others	EP300	Cardiovascular	HUVEC	27870	36/273	59/190	-5.3879	-2.70218	0.42466
SRX7719081	TFs and others	SMAD3	Others	H69	11378	33/273	56/190	-5.37404	-2.70218	0.410126
SRX6473437	TFs and others	Epitope tags	Pluripotent stem cell	hESC derived neural crests	25439	59/273	79/190	-5.29964	-2.70218	0.519776
SRX2867630	TFs and others	BRD4	Blood	Lymphoblastoid cell line	17707	54/273	75/190	-5.29744	-2.70218	0.501099
SRX3345950	TFs and others	CPSF3L	Blood	HL-60	12166	54/273	75/190	-5.29744	-2.70218	0.501099
SRX7719077	TFs and others	SMAD3	Others	H69	10619	41/273	63/190	-5.26915	-2.70218	0.452933
SRX6913054	TFs and others	BRD2	Blood	THP-1	14238	57/273	77/190	-5.182	-2.70218	0.515199
SRX2867628	TFs and others	BRD4	Blood	Lymphoblastoid cell line	11892	52/273	73/190	-5.17744	-2.70218	0.49576
SRX1177904	TFs and others	LARP7	Digestive tract	HCT 116	5397	22/273	0/190	-5.14507	-2.70218	inf
SRX2207926	TFs and others	ERCC6	Epidermis	CS1AN	2314	22/273	0/190	-5.14507	-2.70218	inf
SRX2268289	TFs and others	CHD1	Others	Mesenchymal stem cells	2106	22/273	0/190	-5.14507	-2.70218	inf
SRX2842443	TFs and others	FOS	Bone	143B	929	22/273	0/190	-5.14507	-2.70218	inf
SRX2947201	TFs and others	L3MBTL3	Breast	MDA-MB-231	1216	22/273	0/190	-5.14507	-2.70218	inf
SRX3881589	TFs and others	FOXN3	Liver	Hep G2	2302	22/273	0/190	-5.14507	-2.70218	inf
SRX4411666	TFs and others	MYC	Prostate	LNCAP	1946	22/273	0/190	-5.14507	-2.70218	inf
SRX5624363	TFs and others	GFP	Blood	Macrophages	819	22/273	0/190	-5.14507	-2.70218	inf
SRX6895232	TFs and others	8-Hydroxydeoxyguanosine	Breast	MCF 10A	19179	22/273	0/190	-5.14507	-2.70218	inf
SRX6895233	TFs and others	8-Hydroxydeoxyguanosine	Breast	MCF 10A	18736	22/273	0/190	-5.14507	-2.70218	inf
SRX8299188	TFs and others	Epitope tags	Uterus	HeLa	1433	22/273	0/190	-5.14507	-2.70218	inf
SRX8299189	TFs and others	Epitope tags	Uterus	HeLa	1329	22/273	0/190	-5.14507	-2.70218	inf
SRX8299190	TFs and others	Epitope tags	Uterus	HeLa	1431	22/273	0/190	-5.14507	-2.70218	inf
SRX848605	TFs and others	MIF	Uterus	HeLa	224	22/273	0/190	-5.14507	-2.70218	inf
SRX973412	TFs and others	EHMT2	Kidney	293	1105	22/273	0/190	-5.14507	-2.70218	inf
SRX973414	TFs and others	EHMT2	Kidney	293	1047	22/273	0/190	-5.14507	-2.70218	inf
SRX973421	TFs and others	EHMT2	Kidney	293	874	22/273	0/190	-5.14507	-2.70218	inf
SRX973422	TFs and others	EHMT2	Kidney	293	698	22/273	0/190	-5.14507	-2.70218	inf
SRX2194261	TFs and others	BRD4	Breast	SUM 159PT	32249	155/273	146/190	-5.10551	-2.70218	0.738873
SRX8380669	TFs and others	ESR1	Bone	U2OS	4241	26/273	1/190	-5.01962	-2.70218	18.0952
SRX667409	TFs and others	Epitope tags	Breast	MCF-7	6651	33/273	3/190	-4.94389	-2.70218	7.65568
SRX8706937	TFs and others	E2F1	Prostate	LNCAP	13977	96/273	106/190	-4.93087	-2.70218	0.630313
SRX5527617	TFs and others	EP300	Cardiovascular	HUVEC	26078	41/273	62/190	-4.8839	-2.70218	0.460239
SRX1032966	TFs and others	FOS	Blood	Acute myeloid leukemia	724	21/273	0/190	-4.88231	-2.70218	inf
SRX1085069	TFs and others	KDM2B	Blood	DND-41	578	21/273	0/190	-4.88231	-2.70218	inf
SRX1424693	TFs and others	NANOG	Prostate	LNCAP	375	21/273	0/190	-4.88231	-2.70218	inf
SRX1431734	TFs and others	SPI1	Blood	K-562	1834	21/273	0/190	-4.88231	-2.70218	inf
SRX148894	TFs and others	VDR	Liver	LX2	653	21/273	0/190	-4.88231	-2.70218	inf
SRX1555440	TFs and others	MITF	Epidermis	501A	1173	21/273	0/190	-4.88231	-2.70218	inf
SRX1885172	TFs and others	RELA	Prostate	LNCAP	2432	21/273	0/190	-4.88231	-2.70218	inf
SRX206835	TFs and others	RUNX1	Blood	Jurkat	1352	21/273	0/190	-4.88231	-2.70218	inf
SRX210719	TFs and others	MYC	Kidney	293	1215	21/273	0/190	-4.88231	-2.70218	inf
SRX210720	TFs and others	MYC	Kidney	293	2799	21/273	0/190	-4.88231	-2.70218	inf
SRX213875	TFs and others	EP300	Breast	MCF-7	362	21/273	0/190	-4.88231	-2.70218	inf
SRX2207915	TFs and others	ATF3	Epidermis	CS1AN	1271	21/273	0/190	-4.88231	-2.70218	inf
SRX2207925	TFs and others	ERCC6	Epidermis	CS1AN	1400	21/273	0/190	-4.88231	-2.70218	inf
SRX2254717	TFs and others	TRF2	Muscle	Myotube	862	21/273	0/190	-4.88231	-2.70218	inf
SRX2420129	TFs and others	AR	Prostate	VCaP	1407	21/273	0/190	-4.88231	-2.70218	inf
SRX253230	TFs and others	SSRP1	Others	Fibrosarcoma	2632	21/273	0/190	-4.88231	-2.70218	inf
SRX2741420	TFs and others	CHD4	Others	SCC-9	550	21/273	0/190	-4.88231	-2.70218	inf
SRX3230266	TFs and others	BRD1	Pluripotent stem cell	hESC HUES64	504	21/273	0/190	-4.88231	-2.70218	inf
SRX3279751	TFs and others	NFATC1	Blood	CD4+ T cells	463	21/273	0/190	-4.88231	-2.70218	inf
SRX3436328	TFs and others	NR3C1	Blood	SUP-B15	1812	21/273	0/190	-4.88231	-2.70218	inf
SRX3592681	TFs and others	SMAD2	Pluripotent stem cell	hESC HUES8	7678	21/273	0/190	-4.88231	-2.70218	inf
SRX359864	TFs and others	MAFG	Digestive tract	LoVo	427	21/273	0/190	-4.88231	-2.70218	inf
SRX360595	TFs and others	SMC3	Digestive tract	GP5d	677	21/273	0/190	-4.88231	-2.70218	inf
SRX371981	TFs and others	GATA6	Digestive tract	AGS	1210	21/273	0/190	-4.88231	-2.70218	inf
SRX3962745	TFs and others	LMNA	Unclassified	Unclassified	489	21/273	0/190	-4.88231	-2.70218	inf
SRX4401062	TFs and others	RELA	Blood	BJAB	655	21/273	0/190	-4.88231	-2.70218	inf
SRX4493019	TFs and others	CTNNB1	Blood	K-562	952	21/273	0/190	-4.88231	-2.70218	inf
SRX4599935	TFs and others	Epitope tags	Kidney	293	230	21/273	0/190	-4.88231	-2.70218	inf
SRX4708026	TFs and others	PTBP1	Liver	Hep G2	816	21/273	0/190	-4.88231	-2.70218	inf
SRX4797395	TFs and others	LMNA	Cardiovascular	Myocytes, Cardiac	1383	21/273	0/190	-4.88231	-2.70218	inf
SRX4797397	TFs and others	LMNA	Cardiovascular	Myocytes, Cardiac	9297	21/273	0/190	-4.88231	-2.70218	inf
SRX4797399	TFs and others	LMNA	Cardiovascular	Myocytes, Cardiac	923	21/273	0/190	-4.88231	-2.70218	inf
SRX4797401	TFs and others	LMNA	Cardiovascular	Myocytes, Cardiac	1352	21/273	0/190	-4.88231	-2.70218	inf
SRX4797409	TFs and others	LMNA	Cardiovascular	Myocytes, Cardiac	1112	21/273	0/190	-4.88231	-2.70218	inf
SRX4797411	TFs and others	LMNA	Cardiovascular	Myocytes, Cardiac	1053	21/273	0/190	-4.88231	-2.70218	inf
SRX4797413	TFs and others	LMNA	Cardiovascular	Myocytes, Cardiac	1171	21/273	0/190	-4.88231	-2.70218	inf
SRX4996448	TFs and others	HNRNPK	Epidermis	Keratinocytes	774	21/273	0/190	-4.88231	-2.70218	inf
SRX5624364	TFs and others	GFP	Blood	Macrophages	628	21/273	0/190	-4.88231	-2.70218	inf
SRX5879970	TFs and others	TEAD4	Epidermis	BJ	645	21/273	0/190	-4.88231	-2.70218	inf
SRX5883959	TFs and others	RAD21	Blood	Multiple Myeloma	597	21/273	0/190	-4.88231	-2.70218	inf
SRX5883960	TFs and others	RAD21	Blood	Multiple Myeloma	512	21/273	0/190	-4.88231	-2.70218	inf
SRX5888982	TFs and others	MED1	Others	Head and neck squamous cell carcinoma 	731	21/273	0/190	-4.88231	-2.70218	inf
SRX5888983	TFs and others	MED1	Others	Head and neck squamous cell carcinoma 	277	21/273	0/190	-4.88231	-2.70218	inf
SRX5888985	TFs and others	BRD4	Others	Head and neck squamous cell carcinoma 	420	21/273	0/190	-4.88231	-2.70218	inf
SRX5931540	TFs and others	BAHD1	Blood	HUDEP-2	603	21/273	0/190	-4.88231	-2.70218	inf
SRX5931542	TFs and others	BAHD1	Blood	HUDEP-2	495	21/273	0/190	-4.88231	-2.70218	inf
SRX608343	TFs and others	GFP	Kidney	293	331	21/273	0/190	-4.88231	-2.70218	inf
SRX608345	TFs and others	GFP	Kidney	293	353	21/273	0/190	-4.88231	-2.70218	inf
SRX608348	TFs and others	GFP	Kidney	293	279	21/273	0/190	-4.88231	-2.70218	inf
SRX6473444	TFs and others	Epitope tags	Pluripotent stem cell	hESC derived neural crests	838	21/273	0/190	-4.88231	-2.70218	inf
SRX6596844	TFs and others	EGR1	Others	Fibroblasts	703	21/273	0/190	-4.88231	-2.70218	inf
SRX670813	TFs and others	BRD4	Pluripotent stem cell	hESC H9	1395	21/273	0/190	-4.88231	-2.70218	inf
SRX6895234	TFs and others	8-Hydroxydeoxyguanosine	Breast	MCF 10A	18314	21/273	0/190	-4.88231	-2.70218	inf
SRX6986757	TFs and others	Epitope tags	Pluripotent stem cell	hESC H1	1904	21/273	0/190	-4.88231	-2.70218	inf
SRX7280994	TFs and others	IKZF1	Blood	JM1	337	21/273	0/190	-4.88231	-2.70218	inf
SRX731138	TFs and others	Biotin	Liver	CC-LP-1	889	21/273	0/190	-4.88231	-2.70218	inf
SRX731139	TFs and others	YAP1	Liver	CC-LP-1	815	21/273	0/190	-4.88231	-2.70218	inf
SRX743524	TFs and others	FOXP1	Neural	OF4155	937	21/273	0/190	-4.88231	-2.70218	inf
SRX7730331	TFs and others	IKZF1	Blood	NALM-6	812	21/273	0/190	-4.88231	-2.70218	inf
SRX8538895	TFs and others	ASCL1	Neural	Glioma	1456	21/273	0/190	-4.88231	-2.70218	inf
SRX973415	TFs and others	EHMT2	Kidney	293	694	21/273	0/190	-4.88231	-2.70218	inf
SRX973428	TFs and others	EHMT2	Kidney	293	1188	21/273	0/190	-4.88231	-2.70218	inf
SRX6102129	TFs and others	SUPT5H	Uterus	HeLa	12023	52/273	71/190	-4.77917	-2.70218	0.509725
SRX6049861	TFs and others	Epitope tags	Unclassified	Unclassified	4136	25/273	1/190	-4.7674	-2.70218	17.3993
SRX534844	TFs and others	CHD8	Neural	Neural Stem Cells	24387	53/273	72/190	-4.74189	-2.70218	0.512312
SRX5738754	TFs and others	Crotonyllysine	Pluripotent stem cell	hESC derived Endodermal cells	24362	30/273	51/190	-4.73761	-2.70218	0.409395
DRX002918	TFs and others	LRIF1	Neural	hTERT RPE-1	683	20/273	0/190	-4.61561	-2.70218	inf
DRX234808	TFs and others	KAT7	Kidney	293	1700	20/273	0/190	-4.61561	-2.70218	inf
SRX059367	TFs and others	NR2F1	Pluripotent stem cell	hESC derived neural crests	488	20/273	0/190	-4.61561	-2.70218	inf
SRX059368	TFs and others	NR2F2	Pluripotent stem cell	hESC derived neural crests	541	20/273	0/190	-4.61561	-2.70218	inf
SRX1011300	TFs and others	WWTR1	Liver	HuCCT1	412	20/273	0/190	-4.61561	-2.70218	inf
SRX10119117	TFs and others	JUN	Blood	MV-4-11	592	20/273	0/190	-4.61561	-2.70218	inf
SRX10438176	TFs and others	Epitope tags	Unclassified	Unclassified	167	20/273	0/190	-4.61561	-2.70218	inf
SRX1048459	TFs and others	MEF2B	Blood	DOHH-2	2033	20/273	0/190	-4.61561	-2.70218	inf
SRX1048477	TFs and others	BACH2	Blood	OCI-LY-7	759	20/273	0/190	-4.61561	-2.70218	inf
SRX1085070	TFs and others	KDM2B	Blood	HPB-ALL	532	20/273	0/190	-4.61561	-2.70218	inf
SRX1085072	TFs and others	KDM2B	Blood	K-562	618	20/273	0/190	-4.61561	-2.70218	inf
SRX119642	TFs and others	Epitope tags	Lung	A549	1207	20/273	0/190	-4.61561	-2.70218	inf
SRX148892	TFs and others	VDR	Liver	LX2	455	20/273	0/190	-4.61561	-2.70218	inf
SRX150543	TFs and others	TRIM28	Blood	K-562	1876	20/273	0/190	-4.61561	-2.70218	inf
SRX1531776	TFs and others	NIPBL	Liver	Hep G2	498	20/273	0/190	-4.61561	-2.70218	inf
SRX1555439	TFs and others	MITF	Epidermis	501A	2222	20/273	0/190	-4.61561	-2.70218	inf
SRX2166885	TFs and others	BRD4	Neural	Retina	300	20/273	0/190	-4.61561	-2.70218	inf
SRX2207930	TFs and others	ERCC8	Epidermis	CS1AN	4382	20/273	0/190	-4.61561	-2.70218	inf
SRX2245090	TFs and others	Epitope tags	Blood	Lymphoblastoid cell line	329	20/273	0/190	-4.61561	-2.70218	inf
SRX2323908	TFs and others	AFF1	Blood	Pre-B cell leukemia	997	20/273	0/190	-4.61561	-2.70218	inf
SRX2420131	TFs and others	AR	Prostate	LNCAP	1261	20/273	0/190	-4.61561	-2.70218	inf
SRX2420132	TFs and others	AR	Prostate	LNCAP	1339	20/273	0/190	-4.61561	-2.70218	inf
SRX246862	TFs and others	MBD3	Breast	MDA-MB-231	414	20/273	0/190	-4.61561	-2.70218	inf
SRX253231	TFs and others	SSRP1	Others	Fibrosarcoma	2210	20/273	0/190	-4.61561	-2.70218	inf
SRX2652444	TFs and others	ZBTB48	Bone	U2OS	1796	20/273	0/190	-4.61561	-2.70218	inf
SRX2652445	TFs and others	ZBTB48	Bone	U2OS	2825	20/273	0/190	-4.61561	-2.70218	inf
SRX2652446	TFs and others	ZBTB48	Bone	U2OS	4617	20/273	0/190	-4.61561	-2.70218	inf
SRX2652447	TFs and others	ZBTB48	Bone	U2OS	2980	20/273	0/190	-4.61561	-2.70218	inf
SRX2708812	TFs and others	INO80	Liver	HuH-7	235	20/273	0/190	-4.61561	-2.70218	inf
SRX2741419	TFs and others	CHD4	Others	SCC-9	571	20/273	0/190	-4.61561	-2.70218	inf
SRX2821737	TFs and others	FOSL1	Blood	CD4+ T cells	574	20/273	0/190	-4.61561	-2.70218	inf
SRX2842445	TFs and others	FOS	Bone	MG-63	493	20/273	0/190	-4.61561	-2.70218	inf
SRX2842446	TFs and others	FOSL1	Bone	MG-63	348	20/273	0/190	-4.61561	-2.70218	inf
SRX2912085	TFs and others	Epitope tags	Blood	BCBL1	393	20/273	0/190	-4.61561	-2.70218	inf
SRX3114572	TFs and others	MBD3	Kidney	293	920	20/273	0/190	-4.61561	-2.70218	inf
SRX3195440	TFs and others	MLLT3	Blood	CD34+ cells	1566	20/273	0/190	-4.61561	-2.70218	inf
SRX3337444	TFs and others	KDM1A	Kidney	293	839	20/273	0/190	-4.61561	-2.70218	inf
SRX3337447	TFs and others	KDM1A	Kidney	293	865	20/273	0/190	-4.61561	-2.70218	inf
SRX3436565	TFs and others	SSRP1	Bone	HT-1080	3048	20/273	0/190	-4.61561	-2.70218	inf
SRX346923	TFs and others	MITF	Digestive tract	COLO 829	316	20/273	0/190	-4.61561	-2.70218	inf
SRX357292	TFs and others	AR	Prostate	LNCAP	5963	20/273	0/190	-4.61561	-2.70218	inf
SRX3581352	TFs and others	RPA2	Uterus	HeLa	668	20/273	0/190	-4.61561	-2.70218	inf
SRX3581354	TFs and others	RPA2	Uterus	HeLa	678	20/273	0/190	-4.61561	-2.70218	inf
SRX3581475	TFs and others	CHD7	Pluripotent stem cell	iPS derived neural cells	631	20/273	0/190	-4.61561	-2.70218	inf
SRX359871	TFs and others	NHLH1	Digestive tract	LoVo	416	20/273	0/190	-4.61561	-2.70218	inf
SRX359872	TFs and others	NKX2-8	Digestive tract	LoVo	435	20/273	0/190	-4.61561	-2.70218	inf
SRX3630684	TFs and others	FOXO3	Pluripotent stem cell	iPS derived neural cells	467	20/273	0/190	-4.61561	-2.70218	inf
SRX3657350	TFs and others	Epitope tags	Kidney	293	786	20/273	0/190	-4.61561	-2.70218	inf
SRX3666498	TFs and others	TP53	Blood	T cells	1338	20/273	0/190	-4.61561	-2.70218	inf
SRX3666500	TFs and others	TP53	Blood	T cells	368	20/273	0/190	-4.61561	-2.70218	inf
SRX3666510	TFs and others	TP53	Blood	T cells	1492	20/273	0/190	-4.61561	-2.70218	inf
SRX3745255	TFs and others	Epitope tags	Lung	NCI-H1299	592	20/273	0/190	-4.61561	-2.70218	inf
SRX396257	TFs and others	TP53	Others	Fibroblasts	644	20/273	0/190	-4.61561	-2.70218	inf
SRX433200	TFs and others	AR	Prostate	PC-3	1284	20/273	0/190	-4.61561	-2.70218	inf
SRX4493018	TFs and others	CTNNB1	Blood	K-562	859	20/273	0/190	-4.61561	-2.70218	inf
SRX4599936	TFs and others	Epitope tags	Kidney	293	155	20/273	0/190	-4.61561	-2.70218	inf
SRX4711143	TFs and others	LMNB1	Adipocyte	Adipose stem cells	1008	20/273	0/190	-4.61561	-2.70218	inf
SRX4711145	TFs and others	LMNB1	Adipocyte	Adipose stem cells	1351	20/273	0/190	-4.61561	-2.70218	inf
SRX4783030	TFs and others	AR	Prostate	Prostate cancer cells	807	20/273	0/190	-4.61561	-2.70218	inf
SRX4783055	TFs and others	AR	Prostate	Prostate cancer cells	463	20/273	0/190	-4.61561	-2.70218	inf
SRX4783064	TFs and others	AR	Prostate	Prostate cancer cells	1656	20/273	0/190	-4.61561	-2.70218	inf
SRX512369	TFs and others	POU5F1	Pluripotent stem cell	iPS cells	3097	20/273	0/190	-4.61561	-2.70218	inf
SRX515116	TFs and others	KDM6B	Blood	CUTLL1	596	20/273	0/190	-4.61561	-2.70218	inf
SRX5255104	TFs and others	Epitope tags	Kidney	293	885	20/273	0/190	-4.61561	-2.70218	inf
SRX5290910	TFs and others	CTCF	Prostate	LNCAP	2758	20/273	0/190	-4.61561	-2.70218	inf
SRX5360643	TFs and others	Epitope tags	Epidermis	BJ	1706	20/273	0/190	-4.61561	-2.70218	inf
SRX541384	TFs and others	EZH2	Blood	Multiple Myeloma	1595	20/273	0/190	-4.61561	-2.70218	inf
SRX541386	TFs and others	EZH2	Blood	Multiple Myeloma	1272	20/273	0/190	-4.61561	-2.70218	inf
SRX5444510	TFs and others	MEN1	Blood	ML-2	319	20/273	0/190	-4.61561	-2.70218	inf
SRX5683077	TFs and others	ESR1	Uterus	Ishikawa	474	20/273	0/190	-4.61561	-2.70218	inf
SRX5730049	TFs and others	SMC3	Pluripotent stem cell	ES cells	2180	20/273	0/190	-4.61561	-2.70218	inf
SRX573186	TFs and others	GFP	Epidermis	CS1AN	346	20/273	0/190	-4.61561	-2.70218	inf
SRX5883961	TFs and others	RAD21	Blood	Multiple Myeloma	575	20/273	0/190	-4.61561	-2.70218	inf
SRX5883962	TFs and others	RAD21	Blood	Multiple Myeloma	579	20/273	0/190	-4.61561	-2.70218	inf
SRX5931541	TFs and others	BAHD1	Blood	HUDEP-2	588	20/273	0/190	-4.61561	-2.70218	inf
SRX620746	TFs and others	TP53	Lung	IMR-90	798	20/273	0/190	-4.61561	-2.70218	inf
SRX6473442	TFs and others	Epitope tags	Pluripotent stem cell	hESC derived neural crests	587	20/273	0/190	-4.61561	-2.70218	inf
SRX6473443	TFs and others	Epitope tags	Pluripotent stem cell	hESC derived neural crests	880	20/273	0/190	-4.61561	-2.70218	inf
SRX6596848	TFs and others	EGR1	Others	Fibroblasts	702	20/273	0/190	-4.61561	-2.70218	inf
SRX7030878	TFs and others	CBX5	Breast	MCF-7	1215	20/273	0/190	-4.61561	-2.70218	inf
SRX7030915	TFs and others	CBX5	Breast	MCF-7	1341	20/273	0/190	-4.61561	-2.70218	inf
SRX7106658	TFs and others	AR	Pluripotent stem cell	iPS derived neural cells	1042	20/273	0/190	-4.61561	-2.70218	inf
SRX743525	TFs and others	Epitope tags	Neural	OF4155	581	20/273	0/190	-4.61561	-2.70218	inf
SRX753136	TFs and others	GTF2I	Pluripotent stem cell	iPS cells	962	20/273	0/190	-4.61561	-2.70218	inf
SRX753139	TFs and others	GTF2I	Pluripotent stem cell	iPS cells	1652	20/273	0/190	-4.61561	-2.70218	inf
SRX758611	TFs and others	FOXP1	Blood	HT	2212	20/273	0/190	-4.61561	-2.70218	inf
SRX7807128	TFs and others	MED1	Adipocyte	Adipocytes	860	20/273	0/190	-4.61561	-2.70218	inf
SRX7807129	TFs and others	MED1	Adipocyte	Adipocytes	839	20/273	0/190	-4.61561	-2.70218	inf
SRX8030705	TFs and others	SUZ12	Neural	SU-DIPG-XIII	743	20/273	0/190	-4.61561	-2.70218	inf
SRX8149389	TFs and others	BRD4	Blood	KMS-27	432	20/273	0/190	-4.61561	-2.70218	inf
SRX8149390	TFs and others	BRD4	Blood	KMS-27	303	20/273	0/190	-4.61561	-2.70218	inf
SRX8149391	TFs and others	HDAC1	Blood	KMS-27	376	20/273	0/190	-4.61561	-2.70218	inf
SRX8149392	TFs and others	HDAC1	Blood	KMS-27	373	20/273	0/190	-4.61561	-2.70218	inf
SRX8162312	TFs and others	DOT1L	Blood	MOLM-13	424	20/273	0/190	-4.61561	-2.70218	inf
SRX9178814	TFs and others	HAP1	Blood	HAP1	222	20/273	0/190	-4.61561	-2.70218	inf
SRX973432	TFs and others	EHMT2	Kidney	293	819	20/273	0/190	-4.61561	-2.70218	inf
SRX054574	TFs and others	Epitope tags	Breast	MCF-7	11571	70/273	85/190	-4.61177	-2.70218	0.573152
SRX2251223	TFs and others	BRD4	Prostate	C4-2	29879	35/273	55/190	-4.61146	-2.70218	0.44289
SRX2867629	TFs and others	BRD4	Blood	Lymphoblastoid cell line	13512	29/273	49/190	-4.59073	-2.70218	0.411901
SRX8380644	TFs and others	ESR1	Bone	U2OS	12394	37/273	5/190	-4.58529	-2.70218	5.15018
SRX8380649	TFs and others	ESR1	Bone	U2OS	12719	37/273	5/190	-4.58529	-2.70218	5.15018
SRX8706940	TFs and others	E2F1	Prostate	C4-2	12720	97/273	105/190	-4.55638	-2.70218	0.642944
SRX10760631	TFs and others	BRD4	Blood	MM.1S	9937	27/273	47/190	-4.53745	-2.70218	0.399813
SRX2375366	TFs and others	CDK9	Blood	MV-4-11	27767	85/273	96/190	-4.51361	-2.70218	0.616224
SRX062336	TFs and others	RUNX1	Blood	Kasumi-1	1948	24/273	1/190	-4.51207	-2.70218	16.7033
SRX11657274	TFs and others	Epitope tags	Blood	K-562	1137	24/273	1/190	-4.51207	-2.70218	16.7033
SRX271859	TFs and others	EZH2	Blood	WSU-DLCL2	1277	24/273	1/190	-4.51207	-2.70218	16.7033
SRX7276675	TFs and others	Epitope tags	Kidney	293	27996	24/273	1/190	-4.51207	-2.70218	16.7033
SRX7494163	TFs and others	HIF1A	Blood	K-562	1161	24/273	1/190	-4.51207	-2.70218	16.7033
SRX2565136	TFs and others	E2F1	Prostate	LNCAP	4112	37/273	56/190	-4.47496	-2.70218	0.459838
SRX7061817	TFs and others	BRD2	Blood	SEM	24707	46/273	64/190	-4.4325	-2.70218	0.500229
SRX8570845	TFs and others	HAP1	Blood	KBM-7	32790	42/273	61/190	-4.43125	-2.70218	0.479193
SRX4213896	TFs and others	LIN9	Breast	MCF 10A	3491	32/273	51/190	-4.38049	-2.70218	0.436687
SRX8380648	TFs and others	ESR1	Bone	U2OS	11028	33/273	4/190	-4.37237	-2.70218	5.74176
SRX8706938	TFs and others	E2F1	Prostate	LNCAP	12750	101/273	107/190	-4.35701	-2.70218	0.656944
SRX6102132	TFs and others	NELFE	Uterus	HeLa	13531	74/273	87/190	-4.34971	-2.70218	0.591975
DRX059630	TFs and others	MLLT1	Kidney	293	718	19/273	0/190	-4.3444	-2.70218	inf
DRX135461	TFs and others	TP53	Lung	NCI-H1299	999	19/273	0/190	-4.3444	-2.70218	inf
DRX300414	TFs and others	KAT7	Kidney	293	1025	19/273	0/190	-4.3444	-2.70218	inf
ERX2869660	TFs and others	CTCF	Lung	A549	766	19/273	0/190	-4.3444	-2.70218	inf
SRX026641	TFs and others	ERG	Blood	Acute myeloid leukemia	610	19/273	0/190	-4.3444	-2.70218	inf
SRX083228	TFs and others	NR3C1	Prostate	LNCAP	2532	19/273	0/190	-4.3444	-2.70218	inf
SRX096348	TFs and others	CTNNB1	Digestive tract	LS-180	690	19/273	0/190	-4.3444	-2.70218	inf
SRX100321	TFs and others	SMAD1	Blood	CD34+	933	19/273	0/190	-4.3444	-2.70218	inf
SRX10119122	TFs and others	LYL1	Blood	MV-4-11	3912	19/273	0/190	-4.3444	-2.70218	inf
SRX10131667	TFs and others	MLLT3	Lung	Bronchial tracheal epithelial cells	580	19/273	0/190	-4.3444	-2.70218	inf
