SRX1735651	TFs and others	FOXO1	Blood	Pre-leukemia stem cells	18888	117/300	93/156	-4.50493	-0.530562	0.654194
SRX9178826	TFs and others	HAP1	Blood	HAP1	14614	183/300	119/156	-2.92854	-0.285724	0.799664
SRX2268291	TFs and others	CHD1	Others	Mesenchymal stem cells	6455	66/300	57/156	-2.91401	-0.285724	0.602105
SRX2166888	TFs and others	BRD4	Neural	Retina	7623	88/300	70/156	-2.89799	-0.284707	0.653714
SRX9178832	TFs and others	HAP1	Blood	HAP1	15452	192/300	123/156	-2.88459	-0.284707	0.811707
SRX3934085	TFs and others	INTS13	Blood	HL-60	15372	161/300	108/156	-2.8716	-0.284707	0.775185
SRX7141989	TFs and others	O-GlcNAc	Adipocyte	Adipocytes	4052	54/300	49/156	-2.84283	-0.281756	0.573061
SRX3256864	TFs and others	PCGF1	Pluripotent stem cell	hESC H1	17539	189/300	121/156	-2.82077	-0.281756	0.812231
SRX129110	TFs and others	MYC	Lung	NCI-H2171	44190	216/300	133/156	-2.79914	-0.281756	0.844511
SRX8299783	TFs and others	MYC	Bone	U2OS	20211	187/300	120/156	-2.7969	-0.281756	0.810333
SRX3800335	TFs and others	SMC1A	Others	RT-112	12175	56/300	50/156	-2.79216	-0.281756	0.5824
DRX300417	TFs and others	MEAF6	Kidney	293	11185	132/300	93/156	-2.79077	-0.281756	0.738065
SRX1514959	TFs and others	GFP	Kidney	293	7578	27/300	31/156	-2.78152	-0.281756	0.452903
SRX063918	TFs and others	ERG	Breast	MCF-7	15396	185/300	119/156	-2.77438	-0.281756	0.808403
SRX4937338	TFs and others	MED1	Digestive tract	HCT 116	9134	105/300	79/156	-2.75267	-0.270511	0.691139
SRX186646	TFs and others	PHF8	Blood	K-562	24555	203/300	127/156	-2.71154	-0.244624	0.831181
SRX3434293	TFs and others	SKI	Blood	HL-60	38480	154/300	104/156	-2.70058	-0.244624	0.77
SRX243629	TFs and others	TEAD4	Digestive tract	SNU-216	8614	9/300	16/156	-2.69682	-0.244624	0.2925
SRX7549659	TFs and others	TFAP2C	Pluripotent stem cell	hESC UCLA1	27736	169/300	111/156	-2.63533	-0.192681	0.791712
SRX4547412	TFs and others	CTCF	Breast	MCF-7	3279	14/300	20/156	-2.61258	-0.17927	0.364
SRX100531	TFs and others	CTCF	Liver	Hep G2	50715	109/300	80/156	-2.58277	-0.161441	0.7085
SRX8949803	TFs and others	ASCL1	Unclassified	Unclassified	20255	155/300	104/156	-2.56229	-0.161441	0.775
SRX4155660	TFs and others	CTCFL	Neural	KELLY	10847	36/300	36/156	-2.55203	-0.161441	0.52
SRX7214022	TFs and others	KLF3	Epidermis	Keratinocytes	15744	152/300	102/156	-2.53972	-0.161441	0.774902
SRX5416008	TFs and others	WDR5	Liver	SMMC-7721	22521	150/300	101/156	-2.53487	-0.161441	0.772277
SRX102993	TFs and others	CTCF	Blood	GM12891	35143	123/300	87/156	-2.52468	-0.161441	0.735172
SRX9178850	TFs and others	HAP1	Blood	HAP1	11020	144/300	98/156	-2.52445	-0.161441	0.764082
SRX3256873	TFs and others	BCOR	Pluripotent stem cell	hESC H1	20179	189/300	120/156	-2.51904	-0.161441	0.819
SRX2578881	TFs and others	ESR1	Breast	MDA-MB-231	10281	21/300	25/156	-2.50163	-0.161441	0.4368
SRX2765964	TFs and others	HMGB1	Cardiovascular	HUVEC	8564	101/300	75/156	-2.48714	-0.161441	0.700267
SRX4792911	TFs and others	RAD21	Breast	T-47D	4086	25/300	28/156	-2.48479	-0.161441	0.464286
SRX188952	TFs and others	CTCF	Breast	MCF-7	58937	166/300	109/156	-2.47282	-0.161441	0.791927
SRX6867661	TFs and others	RUNX1T1	Pluripotent stem cell	hESC H9	6676	75/300	60/156	-2.45901	-0.161441	0.65
SRX475796	TFs and others	SPI1	Blood	GM12878	7401	11/300	17/156	-2.45342	-0.161441	0.336471
SRX11196912	TFs and others	NELFB	Kidney	293	998	4/300	11/156	-2.44204	-0.161441	0.189091
SRX2578872	TFs and others	ESR1	Breast	MDA-MB-231	6492	16/300	21/156	-2.442	-0.161441	0.39619
SRX063922	TFs and others	ERG	Blood	K-562	20765	181/300	116/156	-2.4384	-0.161441	0.811379
SRX129107	TFs and others	MAX	Lung	NCI-H128	32315	225/300	135/156	-2.42828	-0.161441	0.866667
SRX9178834	TFs and others	HAP1	Blood	HAP1	6164	68/300	56/156	-2.42006	-0.161441	0.631429
SRX2550934	TFs and others	MYCN	Neural	KELLY	22030	180/300	115/156	-2.41685	-0.161441	0.813913
SRX4001958	TFs and others	SPI1	Blood	THP-1	34643	60/300	51/156	-2.40892	-0.161441	0.611765
DRX234811	TFs and others	MEAF6	Kidney	293	13230	151/300	101/156	-2.40389	-0.161441	0.777426
SRX4708034	TFs and others	RBFOX2	Liver	Hep G2	18845	193/300	121/156	-2.40014	-0.161441	0.829421
SRX9556506	TFs and others	GATA3	Breast	MDA-MB-231	19539	41/300	39/156	-2.39099	-0.161441	0.546667
SRX3091916	TFs and others	ZFX	Kidney	293	12425	119/300	84/156	-2.39054	-0.161441	0.736667
SRX7805360	TFs and others	ZFX	Kidney	293	12425	119/300	84/156	-2.39054	-0.161441	0.736667
SRX7805372	TFs and others	ZFX	Kidney	293	12819	126/300	88/156	-2.3876	-0.161441	0.744545
SRX6430562	TFs and others	EZH2	Blood	KARPAS-422	1642	17/300	22/156	-2.38395	-0.161441	0.401818
SRX3091917	TFs and others	ZFX	Kidney	293	8024	98/300	73/156	-2.37414	-0.161441	0.698082
SRX4727911	TFs and others	TP53BP1	Pluripotent stem cell	hESC H9	7548	98/300	73/156	-2.37414	-0.161441	0.698082
SRX7805361	TFs and others	ZFX	Kidney	293	8024	98/300	73/156	-2.37414	-0.161441	0.698082
SRX5001397	TFs and others	CTCF	Bone	HT-1080	30129	71/300	57/156	-2.36444	-0.161441	0.647719
SRX7572085	TFs and others	SREBF1	Digestive tract	TE-5	944	0/300	5/156	-2.34776	-0.161441	0
SRX831881	TFs and others	STAT5B	Blood	CD8+ T cells	702	0/300	5/156	-2.34776	-0.161441	0
SRX6473438	TFs and others	Epitope tags	Pluripotent stem cell	hESC derived neural crests	23131	235/300	139/156	-2.34218	-0.161441	0.879137
SRX7396394	TFs and others	CTCF	Blood	BLaER1	32492	101/300	74/156	-2.34181	-0.161441	0.70973
SRX100412	TFs and others	TAF1	Liver	Hep G2	17790	187/300	118/156	-2.33893	-0.161441	0.824068
SRX265224	TFs and others	TBP	Blood	ME-1	5262	64/300	53/156	-2.33743	-0.161441	0.627925
SRX2268290	TFs and others	CHD1	Others	Mesenchymal stem cells	2049	6/300	12/156	-2.32822	-0.157311	0.26
SRX10131665	TFs and others	NELFCD	Lung	Bronchial tracheal epithelial cells	10829	164/300	107/156	-2.31677	-0.153493	0.797009
SRX10567335	TFs and others	HMGB1	Cardiovascular	HUVEC	8991	108/300	78/156	-2.31299	-0.153493	0.72
SRX3098193	TFs and others	RUNX1T1	Blood	Kasumi-1	7038	65/300	53/156	-2.30508	-0.153493	0.637736
SRX101303	TFs and others	KAT7	Digestive tract	RKO	9531	107/300	77/156	-2.3031	-0.153493	0.722597
SRX100506	TFs and others	FOXA1	Liver	Hep G2	50229	90/300	68/156	-2.29986	-0.153493	0.688235
SRX9556504	TFs and others	GATA3	Breast	MDA-MB-231	18467	25/300	27/156	-2.28033	-0.13871	0.481481
SRX3636817	TFs and others	CTCF	Blood	ALL xenograft	42103	152/300	101/156	-2.27246	-0.135535	0.782574
SRX7805370	TFs and others	ZFX	Kidney	293	7180	80/300	62/156	-2.26046	-0.134263	0.670968
SRX4708110	TFs and others	RBM25	Liver	Hep G2	36164	125/300	87/156	-2.25884	-0.134263	0.747126
SRX2442440	TFs and others	FGFR1	Pluripotent stem cell	iPS derived neural cells	13470	177/300	113/156	-2.2574	-0.134263	0.814513
SRX102988	TFs and others	CTCF	Lung	A549	49471	141/300	95/156	-2.24824	-0.133458	0.771789
SRX100568	TFs and others	MAX	Blood	K-562	53757	224/300	134/156	-2.24764	-0.133458	0.869254
SRX286203	TFs and others	BRD1	Digestive tract	RKO	7928	82/300	63/156	-2.23857	-0.133162	0.676825
SRX3800708	TFs and others	CTCF	Breast	T-47D	29429	82/300	63/156	-2.23857	-0.133162	0.676825
SRX9556499	TFs and others	GATA3	Breast	MDA-MB-231	16277	47/300	42/156	-2.22853	-0.127443	0.581905
SRX1477660	TFs and others	Epitope tags	Lung	MRC-5	3322	31/300	31/156	-2.21269	-0.125792	0.52
SRX3644357	TFs and others	Epitope tags	Epidermis	BJ	2465	31/300	31/156	-2.21269	-0.125792	0.52
SRX265423	TFs and others	KDM5B	Breast	SUM 185PE	31331	213/300	129/156	-2.20492	-0.125792	0.858605
SRX864826	TFs and others	GATA2	Prostate	LNCAP	23267	46/300	10/156	-2.19597	-0.125792	2.392
SRX7549664	TFs and others	TFAP2C	Pluripotent stem cell	hESC UCLA2	7741	48/300	42/156	-2.19265	-0.125792	0.594286
SRX236112	TFs and others	RUNX1T1	Blood	Kasumi-1	7899	64/300	52/156	-2.18899	-0.125792	0.64
SRX7897937	TFs and others	CTCF	Blood	K-562	7540	32/300	32/156	-2.18523	-0.125792	0.52
SRX256867	TFs and others	NR3C1	Bone	U2OS	22403	22/300	2/156	-2.18247	-0.125792	5.72
SRX063919	TFs and others	ERG	Blood	K-562	6497	56/300	47/156	-2.17934	-0.125792	0.619574
SRX7807106	TFs and others	CTCF	Adipocyte	Adipocytes	38168	109/300	78/156	-2.17783	-0.125792	0.726667
SRX1967781	TFs and others	SMC1A	Epidermis	Keratinocytes	7554	20/300	23/156	-2.17248	-0.125792	0.452174
SRX5718166	TFs and others	RAD21	Kidney	293	15340	90/300	67/156	-2.16185	-0.125792	0.698507
SRX026653	TFs and others	ERG	Blood	CD34 Hematopoietic stem cells	22246	160/300	104/156	-2.15856	-0.125792	0.8
SRX117011	TFs and others	FLI1	Blood	U-937	13833	160/300	104/156	-2.15856	-0.125792	0.8
SRX2281249	TFs and others	KMT2A	Blood	SEM	17528	197/300	122/156	-2.15711	-0.125792	0.839672
SRX3447359	TFs and others	ESR1	Breast	MCF-7	60992	115/300	81/156	-2.15404	-0.125792	0.738272
SRX265428	TFs and others	CTCF	Breast	SUM 159PT	45776	183/300	115/156	-2.1517	-0.125792	0.827478
SRX3873726	TFs and others	MYC	Lung	SW 1271	19168	183/300	115/156	-2.1517	-0.125792	0.827478
SRX8299829	TFs and others	MYC	Bone	U2OS	37170	227/300	135/156	-2.14946	-0.125792	0.87437
SRX1089832	TFs and others	SPI1	Blood	Hematopoietic Stem Cells	13304	33/300	32/156	-2.13903	-0.125792	0.53625
SRX3124404	TFs and others	CTCFL	Neural	KELLY	8001	33/300	32/156	-2.13903	-0.125792	0.53625
SRX3145149	TFs and others	RAD21	Neural	IMR-5	68050	181/300	114/156	-2.13756	-0.125792	0.825614
SRX9730736	TFs and others	CPSF3L	Blood	THP-1	14757	152/300	100/156	-2.13656	-0.125792	0.7904
SRX2548282	TFs and others	BATF3	Blood	ST1	13927	12/300	17/156	-2.12977	-0.125792	0.367059
SRX2897217	TFs and others	ESR1	Breast	Breast cancer cells	5349	68/300	54/156	-2.12826	-0.125792	0.654815
SRX373256	TFs and others	FOXM1	Uterus	HeLa	572	1/300	6/156	-2.12399	-0.125792	0.0866667
SRX7572083	TFs and others	SREBF1	Digestive tract	KYSE-150	1160	1/300	6/156	-2.12399	-0.125792	0.0866667
SRX8406533	TFs and others	HOXB13	Prostate	Prostate	12559	42/300	9/156	-2.11866	-0.123842	2.42667
SRX3595373	TFs and others	Epitope tags	Pluripotent stem cell	hESC H9	24757	81/300	62/156	-2.1149	-0.123435	0.679355
SRX150484	TFs and others	CTCF	Lung	IMR-90	38533	99/300	72/156	-2.10149	-0.123229	0.715
SRX099871	TFs and others	CTCF	Others	FB8470	33738	98/300	71/156	-2.10008	-0.123229	0.717746
SRX5574462	TFs and others	SPI1	Blood	CTV-1	33498	82/300	62/156	-2.09918	-0.123229	0.687742
SRX080391	TFs and others	CTCF	Others	AG09319	37217	101/300	73/156	-2.08949	-0.123229	0.719452
SRX3800730	TFs and others	RAD21	Breast	T-47D	1689	10/300	15/156	-2.08737	-0.123229	0.346667
SRX5927382	TFs and others	CTCFL	Uterus	Fallopian Tubes	13496	85/300	64/156	-2.07702	-0.123229	0.690625
SRX128100	TFs and others	TFAP2C	Breast	BT-474	41857	190/300	118/156	-2.07658	-0.123229	0.837288
SRX9556502	TFs and others	GATA3	Breast	MDA-MB-231	19878	47/300	41/156	-2.07386	-0.123229	0.596098
SRX093189	TFs and others	SPI1	Blood	Macrophages	29256	55/300	46/156	-2.05943	-0.123229	0.621739
SRX150446	TFs and others	E2F1	Uterus	HeLa	9552	107/300	76/156	-2.05767	-0.123229	0.732105
SRX1477655	TFs and others	Epitope tags	Lung	MRC-5	14351	36/300	34/156	-2.05196	-0.123229	0.550588
SRX2963103	TFs and others	TET2	Blood	PBMC	11599	8/300	13/156	-2.05087	-0.123229	0.32
SRX3657345	TFs and others	Epitope tags	Kidney	293	27855	201/300	123/156	-2.04902	-0.123229	0.849756
SRX186638	TFs and others	CTCF	Neural	SK-N-SH	42381	109/300	77/156	-2.04838	-0.123229	0.736104
SRX4377545	TFs and others	BRD2	Breast	SUM 159PT	12755	163/300	105/156	-2.04333	-0.123229	0.807238
SRX8272937	TFs and others	BRD4	Blood	BLaER1	8693	111/300	78/156	-2.03971	-0.123229	0.74
SRX10333912	TFs and others	NELFA	Digestive tract	DLD-1	10941	159/300	103/156	-2.02943	-0.123229	0.802718
SRX2897220	TFs and others	ESR1	Breast	Breast cancer cells	14930	159/300	103/156	-2.02943	-0.123229	0.802718
SRX11014588	TFs and others	CTCF	Bone	U2OS	4647	16/300	20/156	-2.02863	-0.123229	0.416
SRX4547416	TFs and others	CTCF	Breast	FULVR	3436	16/300	20/156	-2.02863	-0.123229	0.416
SRX3636815	TFs and others	CTCF	Blood	ALL xenograft	44731	157/300	102/156	-2.02334	-0.123229	0.800392
SRX1431738	TFs and others	SPI1	Blood	K-562	4624	13/300	17/156	-2.02003	-0.123229	0.397647
SRX7214021	TFs and others	KLF3	Epidermis	Keratinocytes	15248	155/300	101/156	-2.0178	-0.123229	0.79802
SRX3927287	TFs and others	GLTSCR1	Blood	EOL-1	9423	32/300	31/156	-2.01593	-0.123229	0.536774
SRX7972428	TFs and others	MKL2	Epidermis	MKL-2	31883	153/300	100/156	-2.01281	-0.123229	0.7956
SRX1901489	TFs and others	MLL-AF4	Blood	CD19+ leukemic cells	1290	3/300	8/156	-2.01275	-0.123229	0.195
SRX5405696	TFs and others	TFAP2C	Breast	SK-BR-3	40533	154/300	100/156	-2.00557	-0.123229	0.8008
SRX10333914	TFs and others	NELFA	Digestive tract	DLD-1	12641	180/300	113/156	-2.00238	-0.123229	0.828319
SRX186618	TFs and others	MAZ	Lung	IMR-90	18778	152/300	99/156	-2.00198	-0.123229	0.798384
SRX4484986	TFs and others	ELF1	Blood	SEM	24299	152/300	99/156	-2.00198	-0.123229	0.798384
SRX100518	TFs and others	ZBTB7A	Blood	K-562	21192	148/300	97/156	-1.99635	-0.123229	0.793402
SRX2166887	TFs and others	BRD4	Neural	Retina	10070	125/300	85/156	-1.99513	-0.123229	0.764706
SRX2731517	TFs and others	NCAPH2	Kidney	293	10745	144/300	95/156	-1.99273	-0.123229	0.788211
SRX4404395	TFs and others	MYCN	Prostate	LNCAP	12003	144/300	95/156	-1.99273	-0.123229	0.788211
SRX3345954	TFs and others	INTS13	Blood	HL-60	12535	129/300	87/156	-1.98721	-0.123229	0.771034
SRX1503373	TFs and others	HNF1A	Gonad	Caput epididymis	5020	12/300	0/156	-1.9864	-0.123229	inf
SRX8976675	TFs and others	HDAC3	Digestive tract	KYSE-410	1479	12/300	0/156	-1.9864	-0.123229	inf
SRX8976676	TFs and others	HDAC3	Digestive tract	KYSE-410	1451	12/300	0/156	-1.9864	-0.123229	inf
SRX4937340	TFs and others	MED1	Digestive tract	HCT 116	11020	131/300	88/156	-1.98402	-0.123229	0.774091
SRX188951	TFs and others	CTCF	Prostate	LNCAP	43769	96/300	69/156	-1.97898	-0.123229	0.723478
SRX3636887	TFs and others	ZHX2	Kidney	Renal cell carcinoma	26916	176/300	111/156	-1.97817	-0.123229	0.824505
SRX5527615	TFs and others	EP300	Cardiovascular	HUVEC	27870	176/300	111/156	-1.97817	-0.123229	0.824505
SRX1091549	TFs and others	TFAP2A	Pluripotent stem cell	hESC derived neural crests	33580	177/300	111/156	-1.96819	-0.123229	0.829189
SRX2537516	TFs and others	BRD2	Epidermis	SK-MEL-147	18741	174/300	110/156	-1.96711	-0.123229	0.822545
SRX360577	TFs and others	NIPBL	Digestive tract	GP5d	2644	41/300	9/156	-1.95767	-0.123229	2.36889
SRX4059544	TFs and others	EHF	Prostate	RWPE-1	9516	39/300	35/156	-1.95445	-0.123229	0.579429
SRX9556503	TFs and others	GATA3	Breast	MDA-MB-231	17166	29/300	29/156	-1.95139	-0.123229	0.52
SRX1738530	TFs and others	STAG1	Blood	Hematopoietic Stem Cells	7191	34/300	32/156	-1.95093	-0.123229	0.5525
SRX6896409	TFs and others	GRHL2	Breast	T-47D	13105	34/300	32/156	-1.95093	-0.123229	0.5525
SRX8030771	TFs and others	Epitope tags	Kidney	293	11590	173/300	109/156	-1.94864	-0.123229	0.825321
SRX7141988	TFs and others	O-GlcNAc	Adipocyte	Adipocytes	3202	46/300	40/156	-1.94836	-0.123229	0.598
SRX063917	TFs and others	ERG	Breast	MCF-7	14218	170/300	108/156	-1.94696	-0.123229	0.818519
SRX3511932	TFs and others	TFAP2A	Pluripotent stem cell	iPS cells	12446	85/300	63/156	-1.94659	-0.123229	0.701587
SRX5089503	TFs and others	HDAC1	Breast	MCF-7	4724	85/300	27/156	-1.94243	-0.123229	1.63704
SRX189237	TFs and others	MAX	Lung	NCI-H2171	53418	225/300	133/156	-1.93346	-0.123229	0.879699
SRX4484978	TFs and others	CTCF	Blood	SEM	30253	87/300	64/156	-1.92967	-0.123229	0.706875
SRX1165090	TFs and others	Epitope tags	Liver	Hep G2	43290	107/300	75/156	-1.9293	-0.123229	0.741867
SRX4473685	TFs and others	SMARCA4	Gonad	BIN-67	19420	190/300	117/156	-1.9288	-0.123229	0.844444
SRX534844	TFs and others	CHD8	Neural	Neural Stem Cells	24387	190/300	117/156	-1.9288	-0.123229	0.844444
SRX7701215	TFs and others	BRD4	Lung	NCI-H1963	4159	47/300	40/156	-1.92047	-0.123229	0.611
SRX099864	TFs and others	CTCF	Breast	MCF-7	42570	109/300	76/156	-1.92002	-0.123229	0.745789
SRX250091	TFs and others	MYC	Breast	MDA-MB-453	26756	213/300	128/156	-1.91475	-0.123229	0.865313
SRX475794	TFs and others	SPI1	Blood	GM12878	23939	55/300	45/156	-1.91433	-0.123229	0.635556
SRX9206316	TFs and others	CTCF	Lung	Calu-3	7576	55/300	45/156	-1.91433	-0.123229	0.635556
SRX1892834	TFs and others	TFAP4	Digestive tract	SNU-1750	27215	163/300	104/156	-1.91028	-0.123229	0.815
SRX5574383	TFs and others	SPI1	Blood	KG-1	7102	12/300	16/156	-1.90333	-0.123229	0.39
SRX5503032	TFs and others	Epitope tags	Kidney	293	15237	159/300	102/156	-1.8988	-0.123229	0.810588
SRX4892334	TFs and others	Epitope tags	Kidney	293	27849	201/300	122/156	-1.89666	-0.123229	0.856721
SRX3345955	TFs and others	INTS13	Blood	HL-60	18756	157/300	101/156	-1.89382	-0.123229	0.808317
SRX3927305	TFs and others	CTCF	Muscle	SYO-1	60011	183/300	114/156	-1.89364	-0.123229	0.834737
SRX5574346	TFs and others	SPI1	Blood	Neutrophils	21080	36/300	33/156	-1.89171	-0.123229	0.567273
SRX1091551	TFs and others	TFAP2A	Pluripotent stem cell	hESC derived neural crests	46427	212/300	127/156	-1.88543	-0.123229	0.868031
SRX5527607	TFs and others	EP300	Cardiovascular	HAEC	15525	122/300	83/156	-1.88489	-0.123229	0.764337
SRX3124415	TFs and others	CTCFL	Neural	KELLY	8343	31/300	30/156	-1.88286	-0.123229	0.537333
SRX1594217	TFs and others	CTCF	Kidney	786-O	32940	151/300	98/156	-1.88189	-0.123229	0.801224
SRX9562887	TFs and others	SMARCA4	Muscle	RH-4	14459	149/300	97/156	-1.87888	-0.123229	0.798763
SRX219373	TFs and others	CTCF	Blood	MM.1S	39746	199/300	121/156	-1.87816	-0.123229	0.855207
SRX1091542	TFs and others	EP300	Pluripotent stem cell	hESC derived neural crests	14614	121/300	82/156	-1.87616	-0.123229	0.767317
SRX3800332	TFs and others	STAG2	Others	RT-112	26517	182/300	113/156	-1.87604	-0.123229	0.837522
ERX1149102	TFs and others	CTCF	Blood	K-562	741	0/300	4/156	-1.87446	-0.123229	0
SRX11472292	TFs and others	CTCF	Uterus	HeLa	1054	0/300	4/156	-1.87446	-0.123229	0
SRX1547996	TFs and others	TP53	Epidermis	Dermal fibroblast	1849	0/300	4/156	-1.87446	-0.123229	0
SRX1547998	TFs and others	TP53	Epidermis	Dermal fibroblast	2504	0/300	4/156	-1.87446	-0.123229	0
SRX2009526	TFs and others	EZH2	Neural	Diffuse intrinsic pontine glioma	696	0/300	4/156	-1.87446	-0.123229	0
SRX2438584	TFs and others	NOTCH1	Blood	MO1043	1218	0/300	4/156	-1.87446	-0.123229	0
SRX2550935	TFs and others	MYCN	Neural	NB-1643	3147	0/300	4/156	-1.87446	-0.123229	0
SRX4397513	TFs and others	KMT2D	Pluripotent stem cell	NT2-D1	380	0/300	4/156	-1.87446	-0.123229	0
SRX102998	TFs and others	CTCF	Blood	GM12892	41237	145/300	95/156	-1.87427	-0.123229	0.793684
SRX3636816	TFs and others	CTCF	Blood	ALL xenograft	41368	145/300	95/156	-1.87427	-0.123229	0.793684
SRX129111	TFs and others	MAX	Lung	NCI-H2171	48835	230/300	135/156	-1.87401	-0.123229	0.885926
SRX4221460	TFs and others	CTCF	Neural	SK-N-SH	23922	67/300	52/156	-1.87392	-0.123229	0.67
SRX5001395	TFs and others	CTCF	Bone	HT-1080	29556	67/300	52/156	-1.87392	-0.123229	0.67
SRX265225	TFs and others	TCF12	Blood	ME-1	11836	128/300	86/156	-1.87347	-0.123229	0.773953
SRX8037077	TFs and others	KLF5	Digestive tract	HT-29	20557	139/300	92/156	-1.87083	-0.123229	0.785652
SRX5718164	TFs and others	RAD21	Kidney	293	25762	132/300	88/156	-1.86822	-0.123229	0.78
SRX265412	TFs and others	KDM5B	Breast	MCF-7	19926	134/300	89/156	-1.86629	-0.123229	0.782921
SRX334246	TFs and others	E2F1	Unclassified	Unclassified	10415	134/300	89/156	-1.86629	-0.123229	0.782921
SRX3800330	TFs and others	STAG1	Others	RT-112	32743	180/300	112/156	-1.86464	-0.123229	0.835714
SRX4655784	TFs and others	CTCF	Liver	Hep G2	1588	4/300	9/156	-1.86456	-0.123229	0.231111
SRX7805363	TFs and others	ZNF711	Kidney	293	10054	146/300	95/156	-1.8643	-0.123229	0.799158
SRX3161009	TFs and others	ZBTB7A	Blood	HUDEP-2	16012	140/300	92/156	-1.86325	-0.123229	0.791304
SRX3852891	TFs and others	NELFE	Blood	K-562	10548	142/300	93/156	-1.86315	-0.123229	0.793978
SRX9345719	TFs and others	CTCF	Blood	Erythroid Cells	29923	98/300	70/156	-1.85676	-0.12002	0.728
SRX150703	TFs and others	RAD21	Lung	IMR-90	35345	81/300	60/156	-1.85267	-0.12002	0.702
SRX2731586	TFs and others	ONECUT2	Prostate	22Rv1	2777	19/300	21/156	-1.8495	-0.12002	0.470476
SRX5719607	TFs and others	CTCF	Blood	Jurkat	5185	19/300	21/156	-1.8495	-0.12002	0.470476
SRX4001879	TFs and others	CTCF	Blood	THP-1	21306	59/300	47/156	-1.84885	-0.12002	0.652766
SRX747572	TFs and others	RUNX1T1	Blood	Kasumi-1	15203	59/300	47/156	-1.84885	-0.12002	0.652766
SRX3230412	TFs and others	ZNF12	Liver	Hep G2	12013	44/300	38/156	-1.84573	-0.119963	0.602105
SRX100443	TFs and others	SPI1	Blood	GM12891	42742	99/300	70/156	-1.84516	-0.119963	0.735429
SRX4001834	TFs and others	CTCF	Blood	THP-1	23551	60/300	48/156	-1.8392	-0.117582	0.65
SRX9556500	TFs and others	GATA3	Breast	MDA-MB-231	15385	38/300	34/156	-1.83754	-0.117582	0.581176
SRX026639	TFs and others	ERG	Blood	SKNO-1	26783	174/300	109/156	-1.83433	-0.117582	0.830092
