SRX2207918	TFs and others	ATF3	Epidermis	CS1AN	30101	290/344	189/299	-9.03666	-4.91946	1.33367
SRX1046558	TFs and others	RAG2	Blood	Thymus	21556	262/344	180/299	-4.72907	-2.25099	1.26515
SRX11196939	TFs and others	TAF1	Kidney	293	9368	198/344	121/299	-4.72474	-2.25099	1.4223
SRX4473693	TFs and others	ARID2	Gonad	BIN-67	7514	170/344	98/299	-4.67758	-2.21359	1.50777
SRX2014504	TFs and others	RUNX1	Blood	Jurkat	33270	238/344	158/299	-4.62997	-2.19088	1.30928
SRX3737119	TFs and others	NELFA	Kidney	293	5031	109/344	51/299	-4.62854	-2.19088	1.85767
SRX8616797	TFs and others	JUN	Lung	A549	9036	19/344	47/299	-4.62684	-2.19088	0.351373
SRX8299831	TFs and others	NELFCD	Bone	U2OS	14618	234/344	154/299	-4.59789	-2.17088	1.32071
SRX6473438	TFs and others	Epitope tags	Pluripotent stem cell	hESC derived neural crests	23131	297/344	218/299	-4.54895	-2.13825	1.18417
SRX8616836	TFs and others	FOSL2	Lung	A549	4286	1/344	17/299	-4.54788	-2.13825	0.0511286
SRX6435410	TFs and others	SUPT5H	Kidney	293	1079	26/344	3/299	-4.48538	-2.08418	7.53295
SRX8616829	TFs and others	FOSL2	Lung	A549	21291	62/344	97/299	-4.46793	-2.075	0.555562
SRX2166889	TFs and others	BRD4	Neural	Retina	11208	196/344	121/299	-4.42179	-2.03698	1.40794
SRX026657	TFs and others	ERG	Blood	Acute promyelocytic leukemia	16464	231/344	153/299	-4.40108	-2.03145	1.3123
SRX4708115	TFs and others	YY1	Liver	Hep G2	12034	229/344	151/299	-4.39321	-2.03145	1.31817
SRX6435390	TFs and others	SUPT5H	Kidney	293	5164	117/344	58/299	-4.39028	-2.03145	1.75336
SRX1503373	TFs and others	HNF1A	Gonad	Caput epididymis	5020	6/344	27/299	-4.38523	-2.03145	0.193152
SRX6961678	TFs and others	SUPT5H	Digestive tract	HCT 116	3716	68/344	25/299	-4.36125	-2.02195	2.36419
SRX3256864	TFs and others	PCGF1	Pluripotent stem cell	hESC H1	17539	260/344	181/299	-4.361	-2.02195	1.24855
SRX9178830	TFs and others	HAP1	Blood	HAP1	2767	20/344	47/299	-4.3195	-1.98763	0.369866
SRX190204	TFs and others	FOSL2	Lung	A549	23331	45/344	77/299	-4.2964	-1.97159	0.507966
SRX8299830	TFs and others	NELFCD	Bone	U2OS	14909	229/344	152/299	-4.24483	-1.92697	1.3095
SRX335071	TFs and others	NFATC1	Cardiovascular	HUVEC	6248	131/344	70/299	-4.21385	-1.90282	1.62662
SRX6435407	TFs and others	SUPT5H	Kidney	293	2950	79/344	33/299	-4.16757	-1.868	2.08078
SRX825396	TFs and others	HNF1B	Pancreas	CFPAC-1	8240	14/344	38/299	-4.16566	-1.868	0.320226
SRX5503032	TFs and others	Epitope tags	Kidney	293	15237	215/344	140/299	-4.1498	-1.86704	1.33482
SRX9562887	TFs and others	SMARCA4	Muscle	RH-4	14459	209/344	134/299	-4.14357	-1.86704	1.35567
SRX4473685	TFs and others	SMARCA4	Gonad	BIN-67	19420	263/344	185/299	-4.13666	-1.86704	1.23565
SRX9523535	TFs and others	NABP2	Bone	HT-1080	12504	232/344	155/299	-4.13622	-1.86704	1.30098
SRX3230395	TFs and others	PAXIP1	Liver	Hep G2	9583	24/344	51/299	-4.13299	-1.86704	0.409029
SRX190189	TFs and others	TAF1	Uterus	ECC-1	11555	191/344	119/299	-4.12118	-1.86131	1.39508
SRX4192880	TFs and others	FOS	Breast	MCF 10A	51054	58/344	90/299	-4.11333	-1.85945	0.560142
SRX10881821	TFs and others	SS18L1	Kidney	G-401	20099	260/344	182/299	-4.08076	-1.83279	1.24169
SRX4367442	TFs and others	TBP	Lung	Bronchial tracheal epithelial cells	1993	61/344	22/299	-4.06358	-1.82144	2.41002
SRX8337453	TFs and others	NFYA	Blood	HUDEP-2	6569	124/344	65/299	-4.04997	-1.81358	1.65814
SRX8616848	TFs and others	JUNB	Lung	A549	2931	0/344	12/299	-4.04275	-1.81204	0
SRX1538763	TFs and others	NR1H3	Digestive tract	HT-29	20831	62/344	94/299	-3.99954	-1.77443	0.573293
SRX8616833	TFs and others	FOSL2	Lung	A549	4529	2/344	17/299	-3.98637	-1.76679	0.102257
SRX2436062	TFs and others	NEUROD1	Neural	D283 Med	26997	192/344	121/299	-3.96875	-1.75905	1.3792
SRX10382441	TFs and others	BCOR	Pluripotent stem cell	hESC H1	37724	315/344	242/299	-3.96777	-1.75905	1.13138
SRX378804	TFs and others	RELA	Uterus	KB	4956	84/344	37/299	-3.95832	-1.75493	1.97329
SRX100403	TFs and others	NR3C1	Lung	A549	18421	32/344	60/299	-3.94735	-1.74922	0.463566
SRX6066511	TFs and others	NELFE	Digestive tract	HCT 116	5467	113/344	58/299	-3.93066	-1.73774	1.69341
SRX8616830	TFs and others	FOSL2	Lung	A549	8580	11/344	33/299	-3.92494	-1.73715	0.289729
SRX4892335	TFs and others	Epitope tags	Kidney	293	7305	132/344	72/299	-3.89798	-1.71604	1.59351
SRX4561210	TFs and others	EHMT2	Muscle	RH-41	11819	217/344	143/299	-3.89122	-1.71604	1.31897
SRX8616843	TFs and others	JUNB	Lung	A549	9403	6/344	25/299	-3.88676	-1.71604	0.208605
SRX1873447	TFs and others	KDM2B	Blood	SEM	23294	278/344	202/299	-3.88214	-1.71604	1.19621
SRX063922	TFs and others	ERG	Blood	K-562	20765	236/344	161/299	-3.879	-1.71604	1.27409
SRX7196715	TFs and others	BMI1	Neural	SU-DIPG-IV	22502	234/344	159/299	-3.86734	-1.71464	1.27918
SRX2281247	TFs and others	KMT2A	Blood	SEM	12471	211/344	138/299	-3.8637	-1.71464	1.32897
SRX8449942	TFs and others	BAHCC1	Blood	Jurkat	25122	277/344	201/299	-3.85976	-1.71464	1.19783
SRX8030771	TFs and others	Epitope tags	Kidney	293	11590	232/344	157/299	-3.8534	-1.71464	1.2844
SRX5534872	TFs and others	JUN	Breast	MCF-7	4509	13/344	35/299	-3.85076	-1.71464	0.322841
SRX2711484	TFs and others	USP7	Blood	Jurkat	13969	202/344	130/299	-3.84533	-1.71464	1.35058
SRX2711485	TFs and others	USP7	Blood	Jurkat	16463	203/344	131/299	-3.84497	-1.71464	1.34691
SRX1177905	TFs and others	HEXIM1	Digestive tract	HCT 116	17690	206/344	134/299	-3.84048	-1.71464	1.33621
SRX7719077	TFs and others	SMAD3	Others	H69	10619	191/344	121/299	-3.83167	-1.71464	1.37202
SRX1094496	TFs and others	BRD4	Others	TC-797	1425	21/344	2/299	-3.83155	-1.71464	9.12645
SRX7719080	TFs and others	SMAD3	Others	H69	10951	199/344	128/299	-3.82752	-1.71464	1.35131
SRX1384025	TFs and others	ATF3	Digestive tract	HCT 116	19673	63/344	94/299	-3.82004	-1.71144	0.58254
SRX5089560	TFs and others	BRD4	Breast	MCF-7	5713	45/344	74/299	-3.79892	-1.69455	0.528559
SRX100544	TFs and others	EP300	Liver	Hep G2	24398	59/344	89/299	-3.77626	-1.67609	0.576202
SRX4374905	TFs and others	SMC1A	Breast	MB 157	28883	250/344	175/299	-3.76739	-1.67137	1.24169
SRX3230397	TFs and others	PROX1	Liver	Hep G2	22277	46/344	75/299	-3.7631	-1.6712	0.533101
SRX5503029	TFs and others	Epitope tags	Kidney	293	14661	215/344	142/299	-3.74508	-1.65743	1.31602
SRX7701204	TFs and others	BRD4	Lung	NCI-H1963	9116	178/344	110/299	-3.74029	-1.65743	1.4065
SRX366170	TFs and others	NKX2-1	Lung	NCI-H441	24176	43/344	72/299	-3.73162	-1.65743	0.519097
SRX100538	TFs and others	HDAC2	Liver	Hep G2	16221	72/344	102/299	-3.73082	-1.65743	0.613543
SRX8949797	TFs and others	ASCL1	Unclassified	Unclassified	22112	265/344	190/299	-3.72881	-1.65743	1.21229
SRX4377545	TFs and others	BRD2	Breast	SUM 159PT	12755	213/344	141/299	-3.72542	-1.65743	1.31303
SRX7214026	TFs and others	CREBBP	Epidermis	Keratinocytes	3597	3/344	18/299	-3.64502	-1.58089	0.144864
SRX7760063	TFs and others	FOS	Pancreas	CFPAC-1	13879	21/344	45/299	-3.64115	-1.58085	0.40562
SRX1058475	TFs and others	MAX	Epidermis	MKL-1	43170	273/344	198/299	-3.62265	-1.56614	1.19842
SRX6780894	TFs and others	CREB1	Pluripotent stem cell	iPS derived neural cells	16335	215/344	143/299	-3.61009	-1.55734	1.30682
SRX129107	TFs and others	MAX	Lung	NCI-H128	32315	289/344	215/299	-3.60518	-1.55616	1.16835
SRX063918	TFs and others	ERG	Breast	MCF-7	15396	247/344	173/299	-3.59886	-1.55354	1.24098
SRX7719078	TFs and others	SMAD3	Others	H69	12184	211/344	140/299	-3.58919	-1.54753	1.30999
SRX3881554	TFs and others	O-GlcNAc	Prostate	LNCAP	10561	207/344	136/299	-3.58344	-1.54542	1.32295
SRX150388	TFs and others	NRF1	Pluripotent stem cell	hESC H1	3992	69/344	29/299	-3.57709	-1.54267	2.06806
SRX3589923	TFs and others	STAG2	Breast	MCF 10A	9786	22/344	46/299	-3.56246	-1.53162	0.415698
SRX6366606	TFs and others	Epitope tags	Uterus	Ishikawa	18247	270/344	196/299	-3.55312	-1.52897	1.19735
SRX10382399	TFs and others	BCOR	Pluripotent stem cell	hESC H1	35625	314/344	243/299	-3.55275	-1.52897	1.12315
SRX3256873	TFs and others	BCOR	Pluripotent stem cell	hESC H1	20179	253/344	179/299	-3.54434	-1.52405	1.22851
SRX3256874	TFs and others	BCOR	Pluripotent stem cell	hESC H1	18331	259/344	185/299	-3.49885	-1.48202	1.21686
SRX10120408	TFs and others	TRIB3	Liver	Hep G2	8312	11/344	31/299	-3.48767	-1.47427	0.308421
SRX7283267	TFs and others	IRF1	Pancreas	AsPC-1	2516	8/344	26/299	-3.48347	-1.47347	0.267442
SRX6483139	TFs and others	ARID2	Neural	NGP	4311	76/344	34/299	-3.47449	-1.46787	1.94289
SRX265423	TFs and others	KDM5B	Breast	SUM 185PE	31331	265/344	191/299	-3.46293	-1.45967	1.20594
SRX5075174	TFs and others	SMARCA4	Neural	Neural progenitor cells	34486	209/344	139/299	-3.45445	-1.45452	1.30691
SRX6068069	TFs and others	PGR	Uterus	Endometrium	14677	232/344	160/299	-3.4467	-1.45088	1.26032
SRX6473440	TFs and others	Epitope tags	Pluripotent stem cell	hESC derived neural crests	16269	230/344	158/299	-3.43382	-1.45088	1.26527
SRX8337455	TFs and others	NFYA	Blood	HUDEP-2	7683	143/344	84/299	-3.42481	-1.45088	1.47969
SRX8510436	TFs and others	ATF4	Pancreas	L3.6	1300	2/344	16/299	-3.42454	-1.45088	0.108648
SRX190261	TFs and others	TAF1	Pluripotent stem cell	hESC derived neural cells	6770	123/344	68/299	-3.42395	-1.45088	1.5722
SRX10119384	TFs and others	JUNB	Breast	MCF 10A	15047	15/344	36/299	-3.42303	-1.45088	0.362161
SRX5089558	TFs and others	BRD4	Breast	MCF-7	2199	15/344	36/299	-3.42303	-1.45088	0.362161
SRX7214024	TFs and others	CREBBP	Epidermis	Keratinocytes	8268	13/344	33/299	-3.42214	-1.45088	0.342407
SRX1515063	TFs and others	GFP	Kidney	293	2221	49/344	17/299	-3.42196	-1.45088	2.5053
SRX8616824	TFs and others	FOSL2	Lung	A549	7985	10/344	29/299	-3.41086	-1.44287	0.299719
SRX100495	TFs and others	TAF1	Pluripotent stem cell	hESC H1	19565	251/344	178/299	-3.38387	-1.41895	1.22565
SRX8536119	TFs and others	NFYB	Blood	HUDEP-2	8252	109/344	58/299	-3.37001	-1.40814	1.63347
SRX8616851	TFs and others	JUNB	Lung	A549	5075	3/344	17/299	-3.36666	-1.40782	0.153386
SRX2731517	TFs and others	NCAPH2	Kidney	293	10745	219/344	149/299	-3.35629	-1.40285	1.27753
SRX3433645	TFs and others	USP7	Blood	CUTLL1	18429	236/344	164/299	-3.35276	-1.40285	1.25078
SRX8726297	TFs and others	BMI1	Others	Tumor	14115	217/344	147/299	-3.35274	-1.40285	1.28308
SRX4677296	TFs and others	FOXA2	Pancreas	CFPAC-1	49686	96/344	123/299	-3.3396	-1.39266	0.678389
SRX1660872	TFs and others	TRIM25	Breast	Breast cancer cells	16755	206/344	137/299	-3.31925	-1.37523	1.30695
SRX2164786	TFs and others	NKX2-1	Lung	A549	53092	113/344	139/299	-3.31019	-1.36908	0.706604
SRX3230401	TFs and others	SP1	Liver	Hep G2	12274	182/344	117/299	-3.30577	-1.36754	1.35207
SRX4727911	TFs and others	TP53BP1	Pluripotent stem cell	hESC H9	7548	157/344	96/299	-3.30122	-1.36586	1.42148
SRX6961673	TFs and others	SUPT5H	Digestive tract	HCT 116	4951	92/344	46/299	-3.29463	-1.36212	1.73837
SRX2565135	TFs and others	E2F1	Prostate	LNCAP	17511	263/344	191/299	-3.28474	-1.35697	1.19684
SRX8337458	TFs and others	NFYA	Blood	HUDEP-1	4774	86/344	42/299	-3.28384	-1.35697	1.77976
SRX190283	TFs and others	EP300	Lung	A549	13777	29/344	53/299	-3.27225	-1.35094	0.475592
SRX7760064	TFs and others	FOS	Pancreas	CFPAC-1	16204	29/344	53/299	-3.27225	-1.35094	0.475592
SRX8536120	TFs and others	NFYB	Blood	HUDEP-2	7952	115/344	63/299	-3.25787	-1.34155	1.58661
SRX5212357	TFs and others	SMARCA4	Others	Mel270	26998	39/344	64/299	-3.25736	-1.34155	0.52966
SRX2944452	TFs and others	MYC	Breast	MCF 10A	2076	8/344	25/299	-3.25057	-1.33748	0.27814
SRX10881824	TFs and others	SS18L1	Kidney	G-401	23219	260/344	188/299	-3.2454	-1.33502	1.20207
SRX2436061	TFs and others	NEUROD1	Neural	D283 Med	31031	137/344	80/299	-3.2271	-1.32394	1.48848
SRX6066512	TFs and others	NELFE	Digestive tract	HCT 116	6969	137/344	80/299	-3.2271	-1.32394	1.48848
SRX3472375	TFs and others	TP53BP1	Pluripotent stem cell	hESC H9	29510	300/344	229/299	-3.2263	-1.32394	1.13867
SRX3040152	TFs and others	STAG2	Breast	HMEC	14400	33/344	57/299	-3.21618	-1.32091	0.503213
SRX5212371	TFs and others	SMARCA4	Others	Mel270	25835	33/344	57/299	-3.21618	-1.32091	0.503213
SRX366793	TFs and others	BRD3	Blood	MM.1S	3321	64/344	27/299	-3.21454	-1.32091	2.06029
SRX2578881	TFs and others	ESR1	Breast	MDA-MB-231	10281	27/344	50/299	-3.21281	-1.32091	0.46936
SRX5075168	TFs and others	SMARCA4	Neural	Neural progenitor cells	28648	176/344	112/299	-3.20859	-1.31927	1.36586
SRX190229	TFs and others	TAF1	Neural	SK-N-SH	11522	177/344	113/299	-3.20406	-1.3173	1.36147
SRX10131664	TFs and others	NELFCD	Lung	Bronchial tracheal epithelial cells	6427	139/344	82/299	-3.19966	-1.31545	1.47338
SRX1131549	TFs and others	BRD4	Breast	HCC1395	26595	98/344	124/299	-3.19155	-1.30987	0.686937
SRX5316104	TFs and others	O-GlcNAc	Prostate	LNCAP	9397	187/344	122/299	-3.17644	-1.29819	1.33228
SRX1787312	TFs and others	KDM2B	Blood	OCI-LY1	14641	182/344	118/299	-3.17475	-1.29819	1.34061
SRX6473437	TFs and others	Epitope tags	Pluripotent stem cell	hESC derived neural crests	25439	294/344	223/299	-3.17236	-1.29819	1.14592
SRX10212066	TFs and others	ATF4	Blood	CD4+ T cells	12151	25/344	48/299	-3.16776	-1.29607	0.452701
SRX018625	TFs and others	HNF4A	Liver	Hep G2	2642	6/344	22/299	-3.15965	-1.29042	0.237051
SRX666559	TFs and others	NRF1	Breast	T-47D	7819	122/344	69/299	-3.14186	-1.27507	1.53682
SRX4155858	TFs and others	MYCN	Neural	KELLY	23632	262/344	191/299	-3.13939	-1.27504	1.19229
SRX366168	TFs and others	SMAD3	Lung	NCI-H441	19858	35/344	59/299	-3.12944	-1.26751	0.515619
SRX8602200	TFs and others	IRF4	Blood	NCI-H929	7169	81/344	39/299	-3.1139	-1.25566	1.80523
SRX2043230	TFs and others	TCF3	Blood	RCH-ACV	41561	275/344	204/299	-3.1094	-1.25566	1.1717
SRX7498511	TFs and others	CTCF	Others	HMS001	31275	69/344	95/299	-3.1094	-1.25566	0.631304
SRX5089550	TFs and others	BRD4	Breast	MCF-7	1529	9/344	26/299	-3.10805	-1.25566	0.300872
SRX150389	TFs and others	NRF1	Blood	GM12878	4845	86/344	43/299	-3.10451	-1.25448	1.73837
SRX8616827	TFs and others	FOSL2	Lung	A549	13920	77/344	103/299	-3.09535	-1.25125	0.64978
SRX1650401	TFs and others	NR3C1	Lung	A549	5011	3/344	16/299	-3.09199	-1.25125	0.162972
SRX1759186	TFs and others	ATF3	Epidermis	Dermal fibroblast	2967	3/344	16/299	-3.09199	-1.25125	0.162972
SRX8616849	TFs and others	JUNB	Lung	A549	5420	3/344	16/299	-3.09199	-1.25125	0.162972
SRX10158160	TFs and others	BRD4	Blood	KBM-7	5191	48/344	73/299	-3.08697	-1.24852	0.57152
SRX1021630	TFs and others	DAXX	Prostate	PC-3	25068	44/344	69/299	-3.07774	-1.24157	0.554264
SRX3433644	TFs and others	USP7	Blood	CUTLL1	22404	273/344	202/299	-3.07324	-1.23934	1.17469
SRX10059515	TFs and others	CEBPD	Others	Fibroblasts	11907	24/344	46/299	-3.06289	-1.23349	0.453488
SRX4192882	TFs and others	JUNB	Breast	MCF 10A	26251	24/344	46/299	-3.06289	-1.23349	0.453488
SRX366794	TFs and others	BRD3	Blood	MM.1S	3376	67/344	30/299	-3.05541	-1.22824	1.94118
SRX026268	TFs and others	HNF4A	Digestive tract	Caco-2	12544	37/344	61/299	-3.04432	-1.21937	0.527211
SRX10145216	TFs and others	REL	Unclassified	Unclassified	7457	130/344	76/299	-3.02958	-1.20684	1.48677
SRX7584814	TFs and others	ATF4	Blood	HUDEP-2	1292	0/344	9/299	-3.02123	-1.20505	0
SRX8616852	TFs and others	JUNB	Lung	A549	2350	0/344	9/299	-3.02123	-1.20505	0
SRX8673492	TFs and others	DDIT3	Bone	HT-1080	1718	0/344	9/299	-3.02123	-1.20505	0
SRX2537516	TFs and others	BRD2	Epidermis	SK-MEL-147	18741	222/344	154/299	-3.00358	-1.18957	1.25298
SRX1514953	TFs and others	GFP	Kidney	293	32991	288/344	218/299	-3.0009	-1.18905	1.14828
SRX5709753	TFs and others	CTCF	Breast	MCF-7	3685	78/344	38/299	-2.99721	-1.1875	1.78412
SRX6066510	TFs and others	NELFE	Digestive tract	HCT 116	2321	41/344	14/299	-2.9788	-1.17184	2.54547
SRX2267446	TFs and others	BRD4	Lung	NCI-H3122	2643	10/344	27/299	-2.97729	-1.17184	0.321921
SRX8272748	TFs and others	ESR2	Digestive tract	HT-29	8835	20/344	40/299	-2.97122	-1.17042	0.434593
SRX150728	TFs and others	JUND	Liver	Hep G2	27896	52/344	77/299	-2.97018	-1.17042	0.586983
SRX10120404	TFs and others	TRIB3	Liver	Hep G2	5936	7/344	23/299	-2.96956	-1.17042	0.264535
SRX5600893	TFs and others	OLIG2	Neural	Prefrontal Cortex	9713	171/344	110/299	-2.96519	-1.17019	1.35119
SRX150536	TFs and others	STAT3	Breast	MCF 10A	39237	77/344	102/299	-2.96517	-1.17019	0.65615
SRX5824595	TFs and others	BRD2	Breast	SUM 159PT	8516	151/344	93/299	-2.95908	-1.16616	1.41126
SRX100577	TFs and others	PBX3	Blood	GM12878	8465	75/344	36/299	-2.94034	-1.14947	1.8108
SRX4564977	TFs and others	CTCF	Breast	MCF-7	25719	79/344	104/299	-2.93563	-1.1468	0.660247
SRX5503031	TFs and others	Epitope tags	Kidney	293	13616	199/344	134/299	-2.93308	-1.14629	1.29081
SRX5385028	TFs and others	BRD3	Pluripotent stem cell	hESC H1	978	6/344	21/299	-2.9238	-1.13903	0.248339
SRX8536118	TFs and others	NFYB	Blood	HUDEP-2	11191	128/344	75/299	-2.92016	-1.13764	1.48341
SRX2585779	TFs and others	FOSL1	Breast	MDA-MB-231	14478	14/344	32/299	-2.91839	-1.13764	0.380269
SRX8119677	TFs and others	SMARCA2	Others	MeT-5A	40107	66/344	91/299	-2.908	-1.13059	0.630399
SRX8949798	TFs and others	NEUROD1	Unclassified	Unclassified	34927	271/344	201/299	-2.90651	-1.13059	1.17189
SRX3230413	TFs and others	ZNF219	Liver	Hep G2	36560	185/344	199/299	-2.90537	-1.13059	0.808037
SRX4931251	TFs and others	KMT2A	Kidney	293	4034	94/344	50/299	-2.89408	-1.12273	1.63407
SRX2513052	TFs and others	TET2	Blood	Jurkat	12358	130/344	77/299	-2.89146	-1.12273	1.46746
SRX1091814	TFs and others	CTCFL	Blood	K-562	19775	225/344	158/299	-2.89129	-1.12273	1.23776
SRX8831615	TFs and others	BRD4	Digestive tract	KYSE-180	1834	9/344	25/299	-2.88843	-1.12273	0.312907
SRX825395	TFs and others	FOXA1	Pancreas	CFPAC-1	25013	50/344	74/299	-2.88775	-1.12273	0.587288
SRX186675	TFs and others	KDM4A	Pluripotent stem cell	hESC H1	14730	223/344	156/299	-2.88574	-1.12264	1.24249
SRX6101042	TFs and others	NUTM1	Kidney	293	1149	5/344	19/299	-2.88183	-1.12065	0.228733
SRX6977280	TFs and others	Epitope tags	Neural	BE(2)-C	5870	110/344	62/299	-2.87969	-1.12042	1.5421
SRX1650254	TFs and others	NR3C1	Lung	A549	5081	2/344	14/299	-2.87234	-1.11666	0.124169
SRX2442440	TFs and others	FGFR1	Pluripotent stem cell	iPS derived neural cells	13470	239/344	171/299	-2.87214	-1.11666	1.21483
SRX5576989	TFs and others	CREB1	Lung	A549	19952	298/344	229/299	-2.86475	-1.11116	1.13108
SRX1514992	TFs and others	GFP	Kidney	293	9857	77/344	38/299	-2.85867	-1.10695	1.76125
SRX5416008	TFs and others	WDR5	Liver	SMMC-7721	22521	218/344	152/299	-2.85425	-1.1044	1.2466
SRX7540326	TFs and others	BRD4	Breast	MCF-7	953	4/344	17/299	-2.84612	-1.09813	0.204514
SRX9741173	TFs and others	ATF4	Blood	OCI-AML3	9675	15/344	33/299	-2.83294	-1.09111	0.395085
SRX8337457	TFs and others	NFYA	Blood	HUDEP-2	4536	84/344	43/299	-2.83269	-1.09111	1.69794
SRX150579	TFs and others	EP300	Uterus	HeLa	20277	25/344	46/299	-2.83254	-1.09111	0.472384
SRX2841992	TFs and others	BRD4	Blood	K-562	4054	28/344	49/299	-2.82852	-1.09111	0.496678
SRX4377546	TFs and others	BRD2	Breast	SUM 159PT	13233	209/344	144/299	-2.82693	-1.09111	1.26153
SRX8588624	TFs and others	SMARCA4	Cardiovascular	Pulmonary artery endothelial cells	32339	47/344	70/299	-2.82682	-1.09111	0.583596
SRX4892339	TFs and others	Epitope tags	Kidney	293	25651	207/344	142/299	-2.8263	-1.09111	1.26705
SRX5824594	TFs and others	BRD2	Breast	SUM 159PT	12347	190/344	127/299	-2.81154	-1.07815	1.30036
SRX4367431	TFs and others	TBP	Lung	Bronchial tracheal epithelial cells	11034	230/344	163/299	-2.80839	-1.07679	1.22646
